,"CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK","LAWYERS & LOBBYISTS","NONPROFIT INSTITUTIONS",ABORTION POLICY,ACCOUNTANTS,AGRICULTURAL SERVICES & PRODUCTS,AIR TRANSPORT,ANIMAL RIGHTS,ANTI-LABOR GROUPS,AUTOMOTIVE,"BANDS, ORCHESTRAS & OTHER LIVE MUSIC PRODUCTION",BANKS & LENDING INSTITUTIONS,"BEER, WINE & LIQUOR",BUILDING MATERIALS & EQUIPMENT,BUSINESS ASSOCIATIONS,BUSINESS SERVICES,CANDIDATE COMMITTEES,CHEMICAL & RELATED MANUFACTURING,CHRISTIAN CONSERVATIVE,CIVIL SERVANTS/PUBLIC OFFICIALS,CLERGY,COMMERCIAL BANKS,COMMERCIAL FISHING,COMPUTER EQUIPMENT & SERVICES,CONSERVATIVE POLICY ORGANIZATION,CONSTRUCTION SERVICES,CONSUMER GROUPS,CREDIT UNIONS,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,DAIRY,DEFENSE AEROSPACE,DEFENSE ELECTRONICS,EDUCATION,ELDERLY/SOCIAL SECURITY,ELECTRIC UTILITIES,ELECTRONICS MANUFACTURING & SERVICES,EMPLOYER LISTED/CATEGORY UNKNOWN,ENVIRONMENTAL SERVICES & EQUIPMENT,FARM BUREAU,FINANCE & CREDIT COMPANIES,FOOD & BEVERAGE,FOOD PROCESSING & SALES,FORESTRY & FOREST PRODUCTS,GAMBLING & CASINOS,GAY/LESBIAN RIGHTS & ISSUES,GENERAL BUSINESS,GENERAL CONTRACTORS,GENERAL TRADE UNIONS,GUN CONTROL,HEALTH & WELFARE POLICY,HEALTH PROFESSIONALS,HEALTH SERVICES,HOME BUILDERS,HOSPITALS & NURSING HOMES,HUMAN RIGHTS,HUNTING,INSURANCE,INVESTMENT HOLDING COMPANIES,LAWYERS & LOBBYISTS,LEADERSHIP PACS,LIBERAL POLICY ORGANIZATION,LIVE THEATER/OTHER ENTERTAINMENT PRODUCTIONS,LIVESTOCK,LODGING & TOURISM,MARIJUANA GROWERS & PRODUCT SALES,MILITARY,MINING,MINORITY & DISABILITY GROUPS,MISCELLANEOUS AGRICULTURE,MISCELLANEOUS BUSINESS,MISCELLANEOUS DEFENSE,MISCELLANEOUS ENERGY,MISCELLANEOUS ENERGY & NATURAL RESOURCES,MISCELLANEOUS FINANCE,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",MISCELLANEOUS MANUFACTURING & DISTRIBUTING,MISCELLANEOUS SERVICES,MISCELLANEOUS TRANSPORT,MOVIE THEATERS,NONE,NONPROFIT INSTITUTIONS,OIL & GAS,OTHER/SINGLE ISSUE GROUPS,PARTY COMMITTEES,PAYDAY/TITLE LOANS,PHARMACEUTICALS & HEALTH PRODUCTS,POULTRY & EGGS,PRINTING & PUBLISHING,PRO-ENVIRONMENTAL POLICY,PUBLIC EDUCATION POLICY,PUBLIC SECTOR UNIONS,RAILROADS,REAL ESTATE,RECORDED MUSIC PRODUCTION,RECREATION & LIVE ENTERTAINMENT,RETAIL SALES,RETIRED,SAVINGS & LOANS,SEA TRANSPORT,SECURITIES & INVESTMENT,SPECIAL TRADE CONTRACTORS,STEEL,TAX ISSUES,TELECOM SERVICES & EQUIPMENT,TOBACCO,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,TRANSPORTATION UNIONS,TRIBAL GOVERNMENTS,TRUCKING,TV & MOVIE PRODUCTION/DISTRIBUTION,WASTE MANAGEMENT,WATER UTILITIES,WELFARE/SOCIAL WORK,WOMEN'S ISSUES
AK,,,,,2,,7,,,,,,,,,3,,,,3,,,4,2,,2,,,1,,,,1,,2,,8,1,,,2,,,,,,1,2,,,,,,,,,,,1,,,,,1,,,3,,,,,,,1,,2,,4,,21,,4,,,,,,1,,,,,10,,,1,,,,1,2,,,,,,,5,1,,,,,
AL,,,,,,6,1,,,4,,,,1,,8,,1,,4,2,9,1,2,,1,,,12,,,,5,,,,45,,,,3,,3,,1,,2,,,,4,3,,4,,1,3,,16,,,,,1,,2,,,,1,1,,1,3,,2,6,2,,33,1,3,,,2,2,,4,,,2,,28,,,5,,,,1,3,,,1,,,,,,3,1,,,
AR,,,,,2,6,2,,,9,,,1,5,3,16,,3,,2,3,7,,1,,1,,,29,3,,,6,,,,49,,,,3,4,5,,,,7,,,,4,3,2,5,,,2,,11,,,,1,7,,3,,,1,2,,1,,3,2,4,3,1,,20,3,7,,,,1,1,2,,,,1,29,1,,7,3,,,2,2,,,1,,,,,2,3,1,,1,
AZ,,,,,,1,,,,,,,,,,,,1,,2,,,,1,,,,,,,1,,19,,,,2,,,,4,1,,,,,1,,,2,5,5,1,,,,2,,3,,1,,,1,,,1,,,,,,,,,,,,,38,,,,,,4,,1,,1,,1,8,,,,1,,,,,,,,,,,1,,1,,,,
CA,1,,,,,,,,,1,,,,1,,10,,,,,,,,2,,,,,3,,,,,,,,5,,,,,,,,,,,,,,2,1,,,,,,,9,,,,,,,,,,,,,,,1,,,,,,87,,3,,,,,,,,,,,3,,,,,,,1,1,,,2,,,,,,,,,,
CO,,,1,,,1,1,,,,,,1,,1,12,1,,2,5,2,2,,,,,,1,6,,1,1,17,,,,30,1,,,5,,,,,,1,,,2,,2,,1,,,3,,5,1,3,,1,3,,5,4,1,,1,,,,4,,,1,,,16,1,5,2,,,,,4,,,1,,30,,2,1,1,,,1,,,,2,,,,,,1,1,,1,
CT,,,,,,,3,,,,1,,2,1,1,11,,,,20,2,4,,,,1,,1,,,,,19,5,2,,22,,,,4,,,,,,3,1,,,3,3,2,3,,,6,3,25,,,,,1,,1,,,,,,2,,,,4,7,,,37,13,1,,,,,,1,2,,2,,39,,1,,9,1,,4,5,,,1,,,,,,,,,1,
DE,,,,,,,,,,,,,,1,,4,,1,,2,1,,,,,1,,,4,,,,7,1,,,8,,,,,3,,,,,,1,1,,,,,,,,3,2,3,,,,,1,,1,,,,1,,,,5,,1,4,,,22,1,,,,,,,1,,,,,13,,,1,6,,,,2,,,,,,,,,1,,,,
FL,,,,,2,,,,,2,,,,,2,9,,,,9,,7,,2,,2,,,4,,,,15,,,,53,,,,,1,,,,,4,,,1,8,8,3,5,,,11,,36,,,,1,,,,,,,,,,,3,1,,2,,,21,2,1,,,,,,3,2,1,,,36,,1,,1,,,6,2,,,2,,1,,,,,1,,1,
GA,,1,,,3,3,8,,,5,,2,2,3,1,35,,,,4,7,7,,11,,5,,,17,,1,,9,,,1,3,2,,,9,3,5,,,,5,2,,,8,5,2,6,,,20,2,45,,,,,,,,,,,2,,,,6,1,7,6,,,38,2,,,,1,,,3,,,,,90,,4,6,,,,13,4,,1,2,,,,,4,,3,,,1
HI,,,,,1,1,,,,,,,,,,8,,,,1,,2,,,1,,,,2,,,,5,,1,,,,,,2,9,,,,,,1,,,3,,,1,,,1,1,9,,,,,1,,1,,,,1,,,,2,,1,2,1,,29,5,1,,,,,,,,,1,,16,,1,1,,,,,,,,1,,,,,,,1,,,
