,cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report,party,Unnamed: 10
0,846,22531,Mark Leno,CA,SENATE,11,"BUDGET SIGNS, INC.",BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925657-CA-LENO-MARK,Not in Open States,
1,4082,22853,Carlos Gonzalez,MA,HOUSE,TENTH HAMPDEN,1655 MAIN ST LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS,Democratic,
2,4083,22853,Carlos Gonzalez,MA,HOUSE,TENTH HAMPDEN,MA LATINO CHAMBER OF COMMERCE,BUSINESS ASSOCIATIONS,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS,Democratic,
3,4084,22853,Carlos Gonzalez,MA,HOUSE,TENTH HAMPDEN,"NUEVA ESPERANZA, INC",NONPROFIT INSTITUTIONS,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS,Democratic,
4,4179,23076,Dennis Rosa,MA,HOUSE,FOURTH WORCESTER,AMERICAN AUTO BODY AND REPAIR INC,AUTOMOTIVE,https://apps.publicintegrity.org/disclosure/documents/3927517-MA-ROSA-DENNIS-A,Not in Open States,
5,4180,23076,Dennis Rosa,MA,HOUSE,FOURTH WORCESTER,EAGLE REALTY TRUST,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3927517-MA-ROSA-DENNIS-A,Not in Open States,
6,1703,23146,Maria Sachs,FL,SENATE,34,"MARIA SACHS, P.A.",LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3925422-FL-SACHS-MARIA-LORTS,Not in Open States,
7,4202,26227,William Straus,MA,HOUSE,TENTH BRISTOL,BOSTON UNIVERSITY,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M,Not in Open States,
8,4203,26227,William Straus,MA,HOUSE,TENTH BRISTOL,WILLIAM STRAUS ATTORNEY,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M,Not in Open States,
9,4204,26227,William Straus,MA,HOUSE,TENTH BRISTOL,WLM ASSOCIATES,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M,Not in Open States,
10,1715,27888,Eleanor Sobel,FL,SENATE,33,SOBEL AND SOFMAN MDPA,HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3925452-FL-SOBEL-ELEANOR,Not in Open States,
11,1482,28274,Joseph Abruzzo,FL,SENATE,25,ABRUZZO ISSUES MANAGMENT,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3927325-FL-ABRUZZO-JOSEPH-C,Not in Open States,
12,1483,28274,Joseph Abruzzo,FL,SENATE,25,DELMARVA GROUP,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3927325-FL-ABRUZZO-JOSEPH-C,Not in Open States,
13,1504,28610,Lori Berman,FL,HOUSE,90,COMPREHENSIVE CLOSURE CONCEPTS,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3927418-FL-BERMAN-LORI-BETH,Democratic,
14,4043,31510,Marcos Devers,MA,HOUSE,SIXTEENTH ESSEX,MDJ INCORPORATED,CONSTRUCTION SERVICES,https://apps.publicintegrity.org/disclosure/documents/3926993-MA-DEVERS-MARCOS-A,Not in Open States,
15,4013,31621,Gailanne Cariddi,MA,HOUSE,FIRST BERKSHIRE,CARIDDI REAL ESTATE CO,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3926884-MA-CARIDDI-GAILANNE-M,Not in Open States,
