,cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report,party
0,0,13789946,Clark Bishop,AK,SENATE,C,GENERAL REFINING CORP.,MINING,https://apps.publicintegrity.org/disclosure/documents/3924948-AK-BISHOP-CLARK-CLICK,Not in Open States
1,1,13789946,Clark Bishop,AK,SENATE,C,RAMPART EXPLORATION LLC,OIL & GAS,https://apps.publicintegrity.org/disclosure/documents/3924948-AK-BISHOP-CLARK-CLICK,Not in Open States
2,2,6614368,Charles Chenault,AK,HOUSE,29,QWICK CONSTRUCTION COMPANY INC.,GENERAL CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3924950-AK-CHENAULT-CHARLES-M-MIKE,Not in Open States
3,3,9414921,Matt Claman,AK,HOUSE,21,LANE POWELL LLC,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3924952-AK-CLAMAN-MATT,Democratic
4,4,9414921,Matt Claman,AK,HOUSE,21,TOUR WEST INC,LODGING & TOURISM,https://apps.publicintegrity.org/disclosure/documents/3924952-AK-CLAMAN-MATT,Democratic
5,5,6604152,John Jr Coghill,AK,SENATE,B,,NONE,https://apps.publicintegrity.org/disclosure/documents/3924955-AK-COGHILL-JR-JOHN-B,Not in Open States
6,6,6529940,James Colver,AK,HOUSE,9,COLVER SURVEYING,CONSTRUCTION SERVICES,https://apps.publicintegrity.org/disclosure/documents/3924958-AK-COLVER-JAMES-C-JIM,Not in Open States
7,7,6529940,James Colver,AK,HOUSE,9,MAT-SU BOROUGH MATANUSKA SUSITNA BOROUGH,CIVIL SERVANTS/PUBLIC OFFICIALS,https://apps.publicintegrity.org/disclosure/documents/3924958-AK-COLVER-JAMES-C-JIM,Not in Open States
8,8,6692539,Mia Costello,AK,SENATE,K,,NONE,https://apps.publicintegrity.org/disclosure/documents/3924961-AK-COSTELLO-MIA-C,Republican
9,9,13789721,Harriet Drummond,AK,HOUSE,18,DRUMMOND DESIGN,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3924964-AK-DRUMMOND-HARRIET-A,Democratic
10,10,13789721,Harriet Drummond,AK,HOUSE,18,ROMIG PARK IMPROVEMENT COMPANY INC.,ELECTRIC UTILITIES,https://apps.publicintegrity.org/disclosure/documents/3924964-AK-DRUMMOND-HARRIET-A,Democratic
11,11,9399128,Michael Dunleavy,AK,SENATE,E,EMMA ROSE INVESTMENTS LLC,SECURITIES & INVESTMENT,https://apps.publicintegrity.org/disclosure/documents/3924968-AK-DUNLEAVY-MICHAEL-J,Not in Open States
