cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
846,22531,"LENO, MARK",CA,SENATE,11,"BUDGET SIGNS, INC.",BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3925657-CA-LENO-MARK
4082,22853,"GONZALEZ, CARLOS",MA,HOUSE,TENTH HAMPDEN,1655 MAIN ST LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS
4083,22853,"GONZALEZ, CARLOS",MA,HOUSE,TENTH HAMPDEN,MA LATINO CHAMBER OF COMMERCE,BUSINESS ASSOCIATIONS,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS
4084,22853,"GONZALEZ, CARLOS",MA,HOUSE,TENTH HAMPDEN,"NUEVA ESPERANZA, INC",NONPROFIT INSTITUTIONS,https://apps.publicintegrity.org/disclosure/documents/3932204-MA-GONZALEZ-CARLOS
4179,23076,"ROSA, DENNIS",MA,HOUSE,FOURTH WORCESTER,AMERICAN AUTO BODY AND REPAIR INC,AUTOMOTIVE,https://apps.publicintegrity.org/disclosure/documents/3927517-MA-ROSA-DENNIS-A
4180,23076,"ROSA, DENNIS",MA,HOUSE,FOURTH WORCESTER,EAGLE REALTY TRUST,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3927517-MA-ROSA-DENNIS-A
1703,23146,"SACHS, MARIA",FL,SENATE,34,"MARIA SACHS, P.A.",LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3925422-FL-SACHS-MARIA-LORTS
4202,26227,"STRAUS, WILLIAM",MA,HOUSE,TENTH BRISTOL,BOSTON UNIVERSITY,EDUCATION,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M
4203,26227,"STRAUS, WILLIAM",MA,HOUSE,TENTH BRISTOL,WILLIAM STRAUS ATTORNEY,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M
4204,26227,"STRAUS, WILLIAM",MA,HOUSE,TENTH BRISTOL,WLM ASSOCIATES,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3927623-MA-STRAUS-WILLIAM-M
1715,27888,"SOBEL, ELEANOR",FL,SENATE,33,SOBEL AND SOFMAN MDPA,HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3925452-FL-SOBEL-ELEANOR
1482,28274,"ABRUZZO, JOSEPH",FL,SENATE,25,ABRUZZO ISSUES MANAGMENT,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3927325-FL-ABRUZZO-JOSEPH-C
