leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
AKL000003,Charlie Huggins,Charlie,,Huggins,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/HUG.jpg,2011-02-11 00:13:25.150000,2017-01-23 02:03:41.539000
AKL000005,Bettye Davis,Bettye,,Davis,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/DAB.jpg,2011-02-11 00:13:25.154000,2013-01-12 00:02:27.232000
AKL000006,Fred Dyson,Fred,,Dyson,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/DYS.jpg,2011-02-11 00:13:25.156000,2015-01-22 21:35:34.551000
AKL000008,Johnny Ellis,Johnny,,Ellis,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/ELL.jpg,2011-02-11 00:13:25.159000,2017-01-23 02:03:41.540000
AKL000009,Hollis French,Hollis,,French,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/FRE.jpg,2011-02-11 00:13:25.161000,2015-01-22 21:35:34.561000
AKL000012,Albert Kookesh,Albert,,Kookesh,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/KOS.jpg,2011-02-11 00:13:25.166000,2013-01-12 00:02:27.252000
AKL000013,Lesil McGuire,Lesil,,McGuire,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/MCG.jpg,2011-02-11 00:13:25.168000,2017-01-23 02:03:41.556000
AKL000014,Linda Menard,Linda,,Menard,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/MER.jpg,2011-02-11 00:13:25.169000,2013-01-12 00:02:27.233000
AKL000015,Joe Paskvan,Joe,,Paskvan,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/PSK.jpg,2011-02-11 00:13:25.171000,2013-01-12 00:02:27.235000
AKL000017,Joe Thomas,Joe,,Thomas,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/THS.jpg,2011-02-11 00:13:25.175000,2013-01-12 00:02:27.236000
AKL000018,Thomas Wagoner,Thomas,,Wagoner,,,False,ak,,,,http://w3.legis.state.ak.us/images/senate/WAG.jpg,2011-02-11 00:13:25.176000,2013-01-12 00:02:27.237000
AKL000021,Alan Austerman,Alan,,Austerman,,,False,ak,,,,http://w3.legis.state.ak.us/images/house/AUS.jpg,2011-02-11 00:13:25.181000,2015-01-22 21:35:34.509000
AKL000022,Beth Kerttula,Beth,,Kerttula,,,False,ak,,,,http://w3.legis.state.ak.us/images/house/KER.jpg,2011-02-11 00:13:25.183000,2014-03-03 14:17:05.913000
AKL000023,Sharon Cissna,Sharon,,Cissna,,,False,ak,,,,http://w3.legis.state.ak.us/images/house/CIS.jpg,2011-02-11 00:13:25.185000,2013-01-12 00:02:27.249000
