leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
ALL000003,Scott Beason,Scott,,Beason,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/beason_s.jpeg,2011-12-07 21:20:44.091000,2014-11-10 15:09:42.175000
ALL000004,Roger Bedford,Roger,,Bedford,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/bedford_r.jpeg,2011-12-07 21:20:44.102000,2015-02-17 19:42:25.158000
ALL000007,Ben Brooks,Ben,,Brooks,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/brooks_b.jpeg,2011-12-07 21:20:44.133000,2013-03-27 15:27:27.437000
ALL000012,Jerry Fielding,Jerry,,Fielding,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/fielding_j.jpg,2011-12-07 21:20:44.184000,2014-11-10 15:09:17.626000
ALL000017,Tammy Irons,Tammy,,Irons,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/irons_t.jpeg,2011-12-07 21:20:44.239000,2014-11-10 15:08:00.048000
ALL000018,Marc Keahey,Marc,,Keahey,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/keahey_m.jpeg,2011-12-07 21:20:44.249000,2014-11-10 15:09:59.238000
ALL000020,Shadrack McGill,Shadrack,,McGill,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/mcgill_s.jpg,2011-12-07 21:20:44.269000,2014-11-10 15:08:25.147000
ALL000031,Bryan Taylor,Bryan,,Taylor,,,False,al,,,,http://www.legislature.state.al.us/graphics/senatepics/taylor_b.jpg,2011-12-07 21:20:44.386000,2014-11-10 15:10:16.080000
ALL000039,Jim Barton,Jim,,Barton,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/barton_j.jpeg,2011-12-07 21:20:44.469000,2014-02-06 14:57:27.501000
ALL000040,Richard Baughn,Richard,,Baughn,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/baugh_r.jpg,2011-12-07 21:20:44.479000,2014-11-10 15:12:00.193000
ALL000044,Daniel Boman,Daniel,,Boman,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/bowman_d.jpg,2011-12-07 21:20:44.522000,2014-11-10 15:12:15.269000
ALL000048,Duwayne Bridges,Duwayne,,Bridges,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/bridges_d.jpeg,2011-12-07 21:20:44.562000,2014-11-11 15:08:05.807000
ALL000050,Greg Burdine,Greg,,Burdine,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/burdine_g.jpg,2011-12-07 21:20:44.582000,2014-11-10 15:11:14.120000
ALL000052,Mac Buttram,Mac,,Buttram,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/buttram_m.jpg,2011-12-07 21:20:44.602000,2014-11-10 15:11:28.487000
ALL000058,David Colston,David,,Colston,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/colston_d.jpg,2011-12-07 21:20:44.666000,2014-11-10 15:19:48.479000
ALL000060,Paul DeMarco,Paul,,DeMarco,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/demarco_p.jpeg,2011-12-07 21:20:44.686000,2014-11-10 15:16:18.828000
ALL000065,Chad Fincher,Chad,,Fincher,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/fincher_c.jpeg,2011-12-07 21:20:44.795000,2014-11-10 15:21:04.865000
ALL000068,Blaine Galliher,Blaine,,Galliher,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/galliher_b.jpeg,2011-12-07 21:20:44.826000,2013-01-04 14:59:52.565000
ALL000072,Todd Greeson,Todd,,Greeson,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/greeson_t.jpeg,2011-12-07 21:20:44.866000,2014-11-10 15:13:42.094000
ALL000078,Mike Hill,Mike,,Hill,,,False,al,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Hill_41.jpeg,2011-12-07 21:20:44.926000,2017-01-23 02:22:27.128000
ALL000081,Joe Hubbard,Joe,,Hubbard,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/hubbard_j.jpg,2011-12-07 21:20:44.958000,2014-11-10 15:20:02.894000
ALL000082,Mike Hubbard,Mike,,Hubbard,,,False,al,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Hubbard_79.jpeg,2011-12-07 21:20:44.968000,2017-01-23 02:27:36.688000
ALL000084,Jamie Ison,Jamie,,Ison,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/ison_j.jpeg,2011-12-07 21:20:44.988000,2014-11-10 15:20:27.113000
ALL000088,Wayne Johnson,Wayne,,Johnson,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/johnson_w.jpg,2011-12-07 21:20:45.029000,2014-11-10 15:13:03.077000
ALL000090,Yvonne Kennedy,Yvonne,,Kennedy,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/kennedy_y.jpeg,2011-12-07 21:20:45.052000,2013-05-29 16:09:07.289000
ALL000092,Richard J. Laird,Richard,J.,Laird,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/laird_r.jpeg,2011-12-07 21:20:45.073000,2014-11-10 15:14:15.978000
ALL000095,Wes Long,Wes,,Long,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/long_w.jpg,2011-12-07 21:20:45.104000,2014-11-10 15:13:56.319000
ALL000096,Jay Love,Jay,,Love,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/love_j.jpeg,2011-12-07 21:20:45.114000,2013-12-10 21:03:50.428000
ALL000097,Barry Mask,Barry,,Mask,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/mask_b.jpeg,2011-12-07 21:20:45.124000,2014-02-06 14:59:15.827000
ALL000098,Lawrence McAdory,Lawrence,,McAdory,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/mcadory.jpeg,2011-12-07 21:20:45.134000,2014-11-10 15:19:19.543000
ALL000102,Mary Sue McClurkin,Mary Sue,,McClurkin,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/mcclurkin_ms.jpeg,2011-12-07 21:20:45.179000,2014-11-10 15:15:14.772000
ALL000105,Darrio Melton,Darrio,,Melton,,,False,al,,,,http://www.legislature.state.al.us/ALISWWW/House/Representative%20Pictures/Melton_67.jpeg,2011-12-07 21:20:45.210000,2017-04-10 02:28:33.432000
ALL000106,John Merrill,John,,Merrill,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/merrill_j.jpg,2011-12-07 21:20:45.220000,2014-11-10 15:19:35.351000
ALL000108,Joseph C. Mitchell,Joseph,C.,Mitchell,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/mitchell_j.jpeg,2011-12-07 21:20:45.241000,2014-11-10 15:21:20.193000
ALL000112,Charles O. Newton,Charles,O.,Newton,,,False,al,,,,http://www.legislature.state.al.us/graphics/housepics/newton_c.jpeg,2011-12-07 21:20:45.283000,2014-11-10 15:20:15.754000
