leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
AZL000001,Paula Aboud,Paula,,Aboud,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/ABOUD.gif,2011-01-21 19:37:19.560000,2013-01-15 15:54:45.927000
AZL000002,Kyrsten Sinema,Kyrsten,,Sinema,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/SINEMA.gif,2011-01-21 19:37:19.562000,2011-01-21 19:37:19.833000
AZL000003,Carolyn S. Allen,Carolyn,S.,Allen,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/ALLEN_C.gif,2011-01-21 19:37:19.564000,2011-01-21 19:37:19.839000
AZL000005,Manuel V. Alvarez,Manuel,V.,Alvarez,,Manny,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/48leg/House/ALVAREZ.gif,2011-01-21 19:37:19.568000,2011-01-21 19:37:19.833000
AZL000006,Frank Antenori,Frank,,Antenori,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/House/ANTENORI.gif,2011-01-21 19:37:19.570000,2013-01-15 16:01:27.115000
AZL000007,David Braswell,David,,Braswell,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/BRASWELL.gif,2011-01-21 19:37:19.572000,2011-01-21 19:37:19.838000
AZL000008,Ed Bunch,Ed,,Bunch,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/BUNCH.gif,2011-01-21 19:37:19.574000,2011-01-21 19:37:19.839000
AZL000009,Robert Burns,Robert,,Burns,,Bob,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/48leg/Senate/BURNS.gif,2011-01-21 19:37:19.576000,2011-01-21 19:37:19.840000
AZL000010,Meg Burton Cahill,Meg Burton,,Cahill,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/BURTON_CAHILL.gif,2011-01-21 19:37:19.578000,2011-01-21 19:37:19.830000
AZL000011,Ken Cheuvront,Ken,,Cheuvront,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/CHEUVRONT.gif,2011-01-21 19:37:19.580000,2011-01-21 19:37:19.829000
AZL000012,Jorge Luis Garcia,Jorge Luis,,Garcia,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/GARCIA.gif,2011-01-21 19:37:19.582000,2011-01-21 19:37:19.835000
AZL000013,Maria Garcia,Maria,,Garcia,,,False,az,,,,,2011-01-21 19:37:19.584000,2011-01-21 19:37:19.834000
AZL000014,Pamela Gorman,Pamela,,Gorman,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/48leg/Senate/GORMAN.gif,2011-01-21 19:37:19.586000,2011-01-21 19:37:19.838000
AZL000015,Ron Gould,Ron,,Gould,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/GOULD.gif,2011-01-21 19:37:19.588000,2013-01-15 15:50:51.313000
AZL000016,Chuck Gray,Chuck,,Gray,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/GRAY_C.gif,2011-01-21 19:37:19.590000,2011-01-21 19:37:19.831000
AZL000017,Linda Gray,Linda,,Gray,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/GRAY.gif,2011-01-21 19:37:19.591000,2013-01-15 15:51:48.989000
AZL000018,Albert Hale,Albert,,Hale,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/House/HALE.gif,2011-01-21 19:37:19.593000,2017-01-14 07:31:14.816000
AZL000019,Jack Harper,Jack,,Harper,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/House/HARPER.gif,2011-01-21 19:37:19.595000,2013-01-15 16:15:31.556000
AZL000020,John Huppenthal,John,,Huppenthal,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/HUPPENTHAL.gif,2011-01-21 19:37:19.597000,2011-01-21 19:37:19.831000
AZL000021,Leah Landrum Taylor,Leah,,Landrum Taylor,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/LANDRUM_TAYLOR.gif,2011-01-21 19:37:19.599000,2015-01-12 23:20:35.708000
AZL000022,Barbara Leff,Barbara,,Leff,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/LEFF.gif,2011-01-21 19:37:19.601000,2011-01-21 19:37:19.827000
AZL000023,Linda Lopez,Linda,,Lopez,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/LOPEZ.gif,2011-01-21 19:37:19.603000,2014-01-28 14:44:13.614000
AZL000024,Debbie McCune Davis,Debbie,,McCune Davis,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/House/MCCUNE_DAVIS.gif,2011-01-21 19:37:19.605000,2017-01-14 07:31:14.832000
AZL000025,Al Melvin,Al,,Melvin,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/MELVIN.gif,2011-01-21 19:37:19.607000,2015-01-12 23:20:35.697000
AZL000026,Richard Miranda,Richard,,Miranda,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/48leg/Senate/MIRANDA.gif,2011-01-21 19:37:19.609000,2012-06-01 18:33:18.020000
AZL000027,John Nelson,John,,Nelson,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/NELSON.gif,2011-01-21 19:37:19.611000,2013-01-16 15:40:36.689000
AZL000028,Jonathan Paton,Jonathan,,Paton,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/48leg/House/PATON.gif,2011-01-21 19:37:19.613000,2011-01-21 19:37:19.836000
AZL000029,Russell Pearce,Russell,,Pearce,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/PEARCE_R.gif,2011-01-21 19:37:19.614000,2012-06-01 18:32:38.842000
AZL000030,Steve Pierce,Steve,,Pierce,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/50leg/Senate/PIERCE_S.gif,2011-01-21 19:37:19.616000,2017-01-14 07:31:14.901000
AZL000032,Jay Tibshraeny,Jay,,Tibshraeny,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/TIBSHRAENY.gif,2011-01-21 19:37:19.620000,2011-01-21 19:37:19.832000
AZL000033,Thayer Verschoor,Thayer,,Verschoor,,,False,az,,,,http://www.azleg.gov/alisImages/MemberPhotos/49leg/Senate/VERSCHOOR.gif,2011-01-21 19:37:19.622000,2011-01-21 19:37:19.832000
