leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
CAL000001,Dave Cox,Dave,,Cox,,,False,ca,,,,http://cssrc.us/lib/uploads/1/Cox_Standard.jpg,2010-07-09 17:19:48.768000,2011-01-11 18:52:18.255000
CAL000002,Patricia Wiggins,Patricia,,Wiggins,,,False,ca,,,,,2010-07-09 17:19:48.769000,2011-01-11 18:52:18.257000
CAL000003,Mark Leno,Mark,,Leno,,,False,ca,,,,http://sd11.senate.ca.gov/sites/sd11.senate.ca.gov/files/images/ML%20at%20SCOTUS%20Prop%208%203.26.13%20II%20-%20Copy.thumbnail.JPG,2012-01-31 19:25:08.839000,2017-01-02 08:01:38.719000
CAL000004,Sam Aanestad,Sam,,Aanestad,,,False,ca,,,,http://votesmart.org/canphoto/16523.jpg,2010-07-09 17:19:48.773000,2011-01-11 18:52:18.260000
CAL000005,Lois Wolk,Lois,,Wolk,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/WOLK_0.jpg?1381191105,2012-01-31 19:25:09.035000,2017-01-02 08:01:38.716000
CAL000006,Darrell Steinberg,Darrell,,Steinberg,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/Steinberg_0.jpg?1381191185,2012-01-31 19:25:08.984000,2015-01-05 16:30:04.275000
CAL000007,Mark DeSaulnier,Mark,,DeSaulnier,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/DESAULNIERLS_0.jpg?1381191207,2012-01-31 19:25:08.667000,2015-01-05 16:30:04.276000
CAL000008,Leland Yee,Leland,Y.,Yee,,,False,ca,,,,http://votesmart.org/canphoto/28969.jpg,2012-01-31 19:25:09.072000,2015-01-05 16:30:04.278000
CAL000009,Loni Hancock,Loni,,Hancock,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/Hancock_0.jpg?1381191338,2012-01-31 19:25:08.742000,2017-01-02 08:01:38.718000
CAL000010,Ellen Corbett,Ellen, M.,Corbett,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/SenCorbettBlue8x12FINALlls_1.jpg?1402334437,2012-01-31 19:25:08.630000,2015-01-05 16:30:04.252000
CAL000011,Dave Cogdill,Dave,,Cogdill,,,False,ca,,,,,2010-07-09 17:19:48.784000,2011-01-11 18:52:18.256000
CAL000012,Abel Maldonado,Abel,,Maldonado,,,False,ca,,,,http://upload.wikimedia.org/wikipedia/commons/3/30/Abel_Maldonado.jpg,2010-07-09 17:19:48.785000,2011-01-11 18:52:18.256000
CAL000013,George Runner,George,,Runner,,,False,ca,,,,http://cssrc.us/lib/uploads/17/090105_Runner_LR.jpg,2010-07-09 17:19:48.787000,2012-06-01 16:41:43.837000
CAL000014,Roy Ashburn,Roy,,Ashburn,,,False,ca,,,,http://votesmart.org/canphoto/9694.jpg,2010-07-09 17:19:48.799000,2011-01-11 18:52:18.257000
CAL000015,Tony Strickland,Tony,,Strickland,,,False,ca,,,,http://votesmart.org/canphoto/16765.jpg,2012-01-31 19:25:08.997000,2012-12-05 20:07:49.042000
CAL000016,Carol Liu,Carol,,Liu,,,False,ca,,,,http://dist21.casen.govoffice.com/vertical/sites/%7BC79BBCAB-8E9F-47A2-9117-A58842CE1458%7D/uploads/%7B2708BA6C-C81B-421A-BCE5-0DDCDB9AD234%7D_Web.jpg,2012-01-31 19:25:08.864000,2017-01-02 08:01:38.711000
CAL000017,Gilbert Cedillo,Gilbert,,Cedillo,,,False,ca,,,,http://upload.wikimedia.org/wikipedia/en/4/46/Senator_Gilbert_Cedillo.JPG,2010-07-09 17:19:48.804000,2012-12-05 20:07:48.958000
CAL000018,Fran Pavley,Fran,,Pavley,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/senator_photos/pavley-fran.jpg,2012-01-31 19:25:08.922000,2017-01-02 08:01:38.713000
CAL000019,Gloria Romero,Gloria,,Romero,,,False,ca,,,,http://dist24.casen.govoffice.com/vertical/Sites/%7BDD7E6564-CB7A-4B0B-9B0B-C9B9AD71AFED%7D/uploads/%7B109BDFCF-49A8-489F-9D57-F20617B34ACF%7D_Web.jpg,2010-07-09 17:19:48.807000,2011-01-11 18:52:18.258000
CAL000020,Alan Lowenthal,Alan,,Lowenthal,,,False,ca,,,,http://votesmart.org/canphoto/16469.jpg,2012-01-31 19:25:08.876000,2012-12-05 20:07:48.845000
CAL000021,Jenny Oropeza,Jenny,,Oropeza,,,False,ca,,,,,2010-07-09 17:19:48.810000,2011-01-11 18:52:18.259000
CAL000022,Bob Huff,Bob,,Huff,,,False,ca,,,,http://senate.ca.gov/sites/senate.ca.gov/files/HUFF_1.jpg?1381191880,2012-01-31 19:25:08.779000,2017-01-02 08:01:38.710000
CAL000023,Robert Dutton,Bob,,Dutton,,,False,ca,,,,http://votesmart.org/canphoto/28838.jpg,2012-01-31 19:25:08.680000,2012-12-05 20:07:48.849000
