leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
COL000001,Lois Tochtrop,Lois,,Tochtrop,,,False,co,,,,http://www.leg.state.co.us//clics/clics2013A/directory.nsf/0/31CA2CAE90D72BD28725794300729C26/$FILE/S-Tochtrop.jpg,2012-01-19 01:01:48.533000,2015-01-06 19:05:34.663000
COL000002,Mary Hodge,Mary,,Hodge,,,False,co,,,,"http://www.leg.state.co.us//clics/clics2016A/directory.nsf/0/2CE070D8DC83F48387257C55006BFF07/$FILE/S-Hodge, Mary.jpg",2012-01-19 01:01:48.559000,2017-01-13 07:06:34.025000
COL000003,Linda Newell,Linda,,Newell,,,False,co,,,,"http://www.leg.state.co.us//clics/clics2016A/directory.nsf/0/39C620606666300387257C55006BFF02/$FILE/S-Newell, Linda.jpg",2012-01-19 01:01:48.569000,2017-01-13 07:06:34.022000
COL000004,Nancy Spence,Nancy,,Spence,,,False,co,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen27.jpg,2012-01-19 01:01:48.580000,2014-12-09 14:31:06.105000
COL000006,Betty Boyd,Betty,,Boyd,,,False,co,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen21.jpg,2012-01-19 01:01:48.603000,2014-12-09 14:31:06.107000
COL000007,Tim Neville,Tim,,Neville,,,False,co,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen22.jpg,2012-01-19 01:01:48.613000,2013-01-07 15:39:04.750000
COL000008,Shawn Mitchell,Shawn,,Mitchell,,,False,co,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen23.jpg,2012-01-19 01:01:48.623000,2013-01-07 15:39:04.739000
COL000009,Suzanne Williams,Suzanne,,Williams,,,False,co,,,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen28.jpg,2012-01-19 01:01:48.632000,2013-01-07 15:39:04.740000
COL000010,Morgan Carroll,Morgan,,Carroll,,,False,co,,,,"http://www.leg.state.co.us//clics/clics2016A/directory.nsf/0/C10EFEA569038E1A87257C55006B8C08/$FILE/S-Carroll, Morgan.jpg",2012-01-19 01:01:48.645000,2017-01-13 07:06:34.027000
COL000011,Greg Brophy,Greg,,Brophy,,,False,co,,,,http://www.leg.state.co.us//clics/clics2013A/directory.nsf/0/3382096A5CAF6D118725794300729C32/$FILE/S-Brophy.jpg,2012-01-19 01:01:48.655000,2015-01-06 19:05:34.656000
