leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
CTL000002,Eric D. Coleman,Eric D.,,Coleman,,,False,ct,,,,http://www.senatedems.ct.gov/photos/coleman-hi.jpg,2011-04-20 16:37:10.658000,2017-01-08 05:14:18.186000
CTL000003,Gary D. LeBeau,Gary,D.,LeBeau, ,,False,ct,,,,http://www.senatedems.ct.gov/photos/lebeau-hi.jpg,2011-04-20 16:37:10.660000,2015-01-07 19:39:51.378000
CTL000010,Toni N. Harp,Toni,N.,Harp, ,,False,ct,,,,http://www.senatedems.ct.gov/photos/harp-hi.jpg,2011-04-20 16:37:10.687000,2014-03-04 16:09:04.294000
CTL000012,Edward Meyer,Edward,,Meyer, ,,False,ct,,,,http://www.senatedems.ct.gov/photos/meyer-hi.jpg,2011-04-20 16:37:10.691000,2015-01-07 19:39:51.367000
CTL000013,Len Suzio,Len, ,Suzio, ,,False,ct,,,,http://ctsenaterepublicans.com/wp-content/uploads/2012/06/suzio-splash.jpg,2011-04-20 16:37:10.693000,2013-01-09 20:13:52.401000
CTL000017,Joseph J. Crisco Jr.,Joseph J.,,Crisco,Jr.,,False,ct,,,,http://www.senatedems.ct.gov/photos/crisco-hi.jpg,2011-04-20 16:37:10.719000,2017-01-08 05:14:18.187000
CTL000018,Andrew M. Maynard,Andrew M.,,Maynard,,,False,ct,,,,http://www.senatedems.ct.gov/photos/maynard-hi.jpg,2011-04-20 16:37:10.721000,2017-01-08 05:14:18.182000
CTL000019,Edith G. Prague,Edith,G.,Prague, ,,False,ct,,,,http://www.senatedems.ct.gov/im/im-sn/prague-head.jpg,2011-04-20 16:37:10.724000,2013-01-09 20:13:52.402000
CTL000020,Andrea L. Stillman,Andrea,L.,Stillman, ,,False,ct,,,,http://www.senatedems.ct.gov/photos/stillman-hi.jpg,2011-04-20 16:37:10.726000,2015-01-07 19:39:51.369000
CTL000022,Anthony J. Musto,Anthony,J.,Musto, ,,False,ct,,,,http://www.senatedems.ct.gov/photos/musto-hi.jpg,2011-04-20 16:37:10.745000,2015-01-07 19:39:51.371000
CTL000028,John McKinney,John,,McKinney, ,,False,ct,,,,http://www.ctsenaterepublicans.com/images/sens/mckinney_about.png,2011-04-20 16:37:10.805000,2015-01-07 19:39:51.374000
