leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
FLL000001,JD Alexander,JD,,Alexander,,,False,fl,,,,http://www.flsenate.gov/userContent/Senators/2010-2012/photos/s017.jpg,2011-03-02 21:41:52.047000,2012-12-05 20:07:55.892000
FLL000002,Thad Altman,Thad,,Altman,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s16_4770.jpg,2011-03-02 21:41:52.084000,2017-02-24 03:13:56.712000
FLL000003,Lizbeth Benacquisto,Lizbeth,,Benacquisto,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s30_5047.jpg,2011-03-02 21:41:52.086000,2017-02-24 03:13:56.702000
FLL000004,Michael S Bennett,Michael,S,Bennett,,Mike,False,fl,,,,http://www.flsenate.gov/userContent/Senators/2010-2012/photos/s021.jpg,2011-03-02 21:41:52.089000,2012-12-05 20:07:55.896000
FLL000005,Ellyn Setnor Bogdanoff,Ellyn,Setnor,Bogdanoff,,,False,fl,,,,http://www.flsenate.gov/userContent/Senators/2010-2012/photos/s025.jpg,2011-03-02 21:41:52.100000,2014-12-09 00:17:42.728000
FLL000006,Oscar Braynon II,Oscar,,Braynon,II,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s36_5007.jpg,2011-03-02 21:41:52.102000,2017-02-24 03:13:56.708000
FLL000007,Larcenia J Bullard,Larcenia,J,Bullard,,,False,fl,,,,http://www.flsenate.gov/userContent/Senators/2010-2012/photos/s039.jpg,2011-03-02 21:41:52.104000,2012-12-05 20:07:55.898000
FLL000008,Charles S Dean Sr.,Charles,S,Dean,Sr.,Charlie,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2012-2014/Photos/s05_4756.jpg,2011-03-02 21:41:52.106000,2016-05-12 06:17:49.802000
FLL000009,Nancy C Detert,Nancy,C,Detert,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s28_4621.jpg,2011-03-02 21:41:52.107000,2017-02-24 03:13:56.706000
FLL000010,Miguel Diaz de la Portilla,Miguel,,Diaz de la Portilla,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s40_5044.jpg,2011-03-02 21:41:52.110000,2017-02-24 03:13:56.705000
FLL000011,Paula Dockery,Paula,,Dockery,,,False,fl,,,,http://www.flsenate.gov/userContent/Senators/2010-2012/photos/s015.jpg,2011-03-02 21:41:52.112000,2012-12-05 20:07:55.672000
FLL000012,Greg Evers,Greg,,Evers,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s02_4728.jpg,2011-03-02 21:41:52.113000,2017-02-24 03:13:56.685000
FLL000013,Mike Fasano,Mike,,Fasano,,,False,fl,,,,http://www.flhouse.gov/FileStores/Web/Imaging/Member/4058.jpg,2011-03-02 21:41:52.115000,2014-12-09 00:17:42.800000
FLL000014,Anitere Flores,Anitere,,Flores,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s37_4783.jpg,2011-03-02 21:41:52.117000,2017-02-24 03:13:56.664000
FLL000015,Don Gaetz,Don,,Gaetz,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s01_4804.jpg,2011-03-02 21:41:52.139000,2017-02-24 03:13:56.676000
FLL000016,Rene Garcia,Rene,,Garcia,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s38_4717.jpg,2011-03-02 21:41:52.141000,2017-02-24 03:13:56.709000
FLL000017,Andy Gardiner,Andy,,Gardiner,,,False,fl,,,,http://www.flsenate.gov/PublishedContent/Senators/2014-2016/Photos/s13_4684.jpg,2011-03-02 21:41:52.146000,2017-02-24 03:13:56.662000
