leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
HIL000002,Suzanne Chun Oakland,Suzanne Chun,,Oakland,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/chun_oakland.jpg,2011-05-04 16:48:14.569000,2017-01-07 09:01:35.535000
HIL000006,Carol Fukunaga,Carol,,Fukunaga,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/fukunaga.jpg,2011-05-04 16:48:14.576000,2013-01-09 00:02:44.459000
HIL000010,Clayton Hee,Clayton,,Hee,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/hee.jpg,2011-05-04 16:48:14.594000,2014-11-10 15:02:24.249000
HIL000011,David Y. Ige,David Y.,,Ige,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/ige.jpg,2011-05-04 16:48:14.608000,2014-11-10 15:02:06.471000
HIL000013,Gilbert Kahele,Gilbert,,Kahele,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/kahele.jpg,2011-05-04 16:48:14.612000,2016-03-17 21:23:50.566000
HIL000018,Pohai Ryan,Pohai,,Ryan,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/ryan.jpg,2011-05-04 16:48:14.621000,2013-01-09 00:02:44.470000
HIL000020,Sam Slom,Sam,,Slom,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/slom.jpg,2011-05-04 16:48:14.636000,2017-01-07 09:01:35.533000
HIL000021,Malama Solomon,Malama,,Solomon,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/solomon.jpg,2011-05-04 16:48:14.638000,2014-11-10 15:00:44.979000
HIL000024,Shan S. Tsutsui,Shan S.,,Tsutsui,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/tsutsui.jpg,2011-05-04 16:48:14.644000,2013-01-09 00:02:44.477000
HIL000027,Karen L. Awana,Karen,,Awana,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/awana.jpg,2011-05-04 16:48:14.674000,2014-11-10 15:06:01.591000
HIL000030,Rida T.R. Cabanilla,Rida T.R.,,Cabanilla,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/cabanilla.jpg,2011-05-04 16:48:14.731000,2014-11-10 15:05:54.254000
HIL000031,Mele Carroll,Mele,,Carroll,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/carroll.jpg,2011-05-04 16:48:14.733000,2015-03-06 20:40:18.656000
HIL000032,Jerry L. Chang,Jerry L.,,Chang,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/chang.jpg,2011-05-04 16:48:14.734000,2013-01-09 00:02:44.424000
HIL000033,Corinne W.L. Ching,Corinne W.L.,,Ching,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/ching.jpg,2011-05-04 16:48:14.736000,2013-01-09 00:02:44.425000
HIL000034,Pono Chong,Pono,,Chong,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/chong.jpg,2011-05-04 16:48:14.738000,2013-01-09 00:02:44.476000
HIL000036,Denny Coffman,Denny,,Coffman,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/coffman.jpg,2011-05-04 16:48:14.756000,2014-01-13 14:47:34.438000
HIL000039,George R. Fontaine,George R.,,Fontaine,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/fontaine.jpg,2011-05-04 16:48:14.769000,2013-01-09 00:02:44.429000
HIL000040,Faye P. Hanohano,Faye P.,,Hanohano,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/hanohano.jpg,2011-05-04 16:48:14.771000,2014-11-10 15:05:06.751000
HIL000043,Robert N. Herkes,Robert N.,,Herkes,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/herkes.jpg,2011-05-04 16:48:14.777000,2013-01-09 00:02:44.431000
HIL000047,Jo Jordan,Jo,,Jordan,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/jordan.jpg,2011-05-04 16:48:14.784000,2017-01-07 09:01:35.527000
HIL000048,Derek S.K. Kawakami,Derek S.K.,,Kawakami,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/kawakami.jpg,2011-05-04 16:48:14.786000,2017-01-07 09:01:35.524000
HIL000051,Marilyn B. Lee,Marilyn B.,,Lee,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/lee.jpg,2011-05-04 16:48:14.791000,2013-01-09 00:02:44.436000
HIL000053,Joey Manahan,Joey,,Manahan,,,False,hi,,,,http://capitol.hawaii.gov//Members/Images/RepSenPhotos/manahan.jpg,2011-05-04 16:48:14.796000,2013-01-09 00:02:44.438000
