leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
ILL000003,Larry K. Bomke,Larry,K.,Bomke,,,False,il,,,,http://ilga.gov/images/members/{8D2A4110-3D08-47EF-A4A8-CB5F04F6175E}.jpg,2011-08-23 15:06:26.957000,2013-01-12 00:09:23.325000
ILL000006,Annazette R. Collins,Annazette,R.,Collins,,,False,il,,,,http://ilga.gov/images/members/{6D1A5EE2-0E5C-4CD0-9A87-85AC039A7A6E}.jpg,2011-08-23 15:06:27.005000,2013-01-12 00:09:23.324000
ILL000008,M. Maggie Crotty,M. Maggie,,Crotty,,,False,il,,,,http://ilga.gov/images/members/{58D3432E-1209-4C6F-AB2A-05E07F55009F}.jpg,2011-08-23 15:06:27.085000,2013-01-12 00:09:23.262000
ILL000010,Shane Cultra,Shane,,Cultra,,,False,il,,,,http://ilga.gov/images/members/{389CD0D4-9409-4624-A183-F39F0C80E18A}.jpg,2011-08-23 15:06:27.110000,2013-01-12 00:09:23.328000
ILL000011,William Delgado,William,,Delgado,,,False,il,,,,http://ilga.gov/images/members/{4944A2A5-CABD-43CB-A3B5-FAFF9608EBCE}.jpg,2011-08-23 15:06:27.120000,2017-01-14 15:04:45.515000
ILL000012,Kirk W. Dillard,Kirk,W.,Dillard,,,False,il,,,,http://ilga.gov/images/members/%7BD6E96EFB-8EB7-42DB-9859-96BC44209BAE%7D.jpg,2011-08-23 15:06:27.130000,2014-08-18 14:04:31.182000
ILL000013,Dan Duffy,Dan,,Duffy,,,False,il,,,,http://ilga.gov/images/members/%7B93A371EA-9D05-43CF-B928-FED5F0F25A3C%7D.jpg,2011-08-23 15:06:27.139000,2016-09-24 08:06:16.152000
ILL000014,Gary Forby,Gary,,Forby,,,False,il,,,,http://ilga.gov/images/members/%7BF1FE321F-D78C-4A32-B442-E4EA580C77ED%7D.jpg,2011-08-23 15:06:27.149000,2017-01-14 15:04:45.508000
ILL000015,Michael W. Frerichs,Michael,W.,Frerichs,,,False,il,,,,http://ilga.gov/images/members/%7B8486BF67-FCB2-49D9-B483-F01736AF2D80%7D.jpg,2011-08-23 15:06:27.159000,2015-01-20 22:32:08.663000
ILL000016,Susan Garrett,Susan,,Garrett,,,False,il,,,,http://ilga.gov/images/members/{40C98571-9A16-429E-A36C-296E4F2A86EF}.jpg,2011-08-23 15:06:27.169000,2013-01-12 00:09:23.293000
ILL000022,Mike Jacobs,Mike,,Jacobs,,,False,il,,,,http://ilga.gov/images/members/%7B59B5D1B2-2BC2-4D0C-A6A4-E07FFAAD4065%7D.jpg,2011-08-23 15:06:27.228000,2015-01-20 22:31:39.194000
ILL000023,Christine J. Johnson,Christine,J.,Johnson,,,False,il,,,,http://ilga.gov/images/members/{3409D494-9884-4DFC-A9FD-07065ACCE5F0}.jpg,2011-08-23 15:06:27.239000,2013-01-12 00:09:23.301000
ILL000024,Thomas Johnson,Thomas,,Johnson,,,False,il,,,,http://ilga.gov/images/members/{FAE542A7-E4F6-4862-AAD5-9091CE4A1583}.jpg,2011-08-23 15:06:27.248000,2013-01-12 00:09:23.322000
ILL000026,John O. Jones,John,O.,Jones,,,False,il,,,,http://ilga.gov/images/members/{1C541A61-BF92-4C9A-B029-5D4CAE7DD642}.jpg,2011-08-23 15:06:27.331000,2013-01-12 00:09:23.329000
ILL000028,Dan Kotowski,Dan,,Kotowski,,,False,il,,,,http://ilga.gov/images/members/%7B7C13AACE-8BD1-4B51-AD5D-88B2CFF5A9FE%7D.jpg,2011-08-23 15:06:27.351000,2015-12-14 15:32:35.768000
ILL000029,Darin M. LaHood,Darin,M.,LaHood,,,False,il,,,,http://ilga.gov/images/members/%7BF55DB959-1366-4701-9033-01A9E7380313%7D.jpg,2011-08-23 15:06:27.361000,2015-12-11 21:09:37.829000
