leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
INL000002,Jim Arnold,James,,Arnold,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_james_arnold_917,2011-04-08 18:48:34.079000,2017-01-09 06:35:33.479000
INL000003,Jim Banks,Jim,,Banks,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_james_banks_1040,2011-04-08 18:48:34.088000,2017-01-09 06:35:33.480000
INL000006,Richard D. Bray,Richard D.,,Bray,,,False,in,,,,http://www.in.gov/legislative/senate_republicans/images/photogallery/caucus/headshots/bray-tn.jpg,2011-04-08 18:48:34.094000,2013-01-09 18:24:45.374000
INL000008,John Broden,John,,Broden,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_john_broden_644,2011-04-08 18:48:34.097000,2017-01-09 06:35:33.481000
INL000013,Beverly J. Gard,Beverly J.,,Gard,,,False,in,,,,http://www.in.gov/legislative/senate_republicans/hiResImages/thumbs/Gard_hi_res_tn.jpg,2011-04-08 18:48:34.106000,2013-01-09 18:24:45.375000
INL000019,Lindel O. Hume,Lindel,,Hume,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_lindel_hume_157/,2011-04-08 18:48:34.117000,2014-12-09 22:55:22.840000
INL000023,Sue Landske,Sue,,Landske,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_sue_landske_214/,2011-04-08 18:48:34.124000,2014-12-09 22:55:22.843000
INL000024,Connie Lawson,Connie,,Lawson,,,False,in,,,,,2011-04-08 18:48:34.126000,2012-07-13 01:16:15.521000
INL000028,Patricia L. Miller,Patricia,,Miller,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_patricia_miller_180,2011-04-08 18:48:34.133000,2017-01-09 06:35:33.485000
INL000031,Johnny Nugent,Johnny,,Nugent,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_johnny_nugent_141/,2011-04-08 18:48:34.139000,2014-12-09 22:55:22.838000
INL000032,Allen E. Paul,Allen,,Paul,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_allen_paul_68/,2011-04-08 18:48:34.140000,2014-12-09 22:55:22.833000
INL000034,Earline S. Rogers,Earline,,Rogers,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_earline_rogers_109,2011-04-08 18:48:34.144000,2017-01-09 06:35:33.477000
INL000035,Scott Schneider,Scott,,Schneider,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_scott_schneider_1009,2011-04-08 18:48:34.146000,2017-01-09 06:35:33.488000
INL000036,Vi Simpson,Vi,,Simpson,,,False,in,,,,http://www.in.gov/legislative/senate_democrats/images/Simpson2.jpg,2011-04-08 18:48:34.147000,2013-01-09 18:24:45.377000
INL000037,Tim Skinner,Timothy,,Skinner,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_timothy_skinner_696/,2011-04-08 18:48:34.149000,2014-12-09 22:55:22.835000
INL000039,Brent Steele,Brent,,Steele,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_brent_steele_784,2011-04-08 18:48:34.153000,2017-01-09 06:35:33.473000
INL000044,Brent Waltz,Brent,,Waltz,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_brent_waltz_791,2011-04-08 18:48:34.162000,2017-01-09 06:35:33.475000
INL000045,John W. Waterman,John,,Waterman,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_john_waterman_147/,2011-04-08 18:48:34.163000,2014-12-09 22:55:22.836000
INL000046,Thomas J. Wyss,Thomas,,Wyss,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_thomas_wyss_227/,2011-04-08 18:48:34.165000,2014-12-09 22:55:22.829000
INL000047,Carlin Yoder,Carlin,,Yoder,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_carlin_yoder_974,2011-04-08 18:48:34.167000,2017-01-09 06:35:33.476000
INL000048,Michael Young,R Michael,,Young,,,False,in,,,,http://iga.in.gov/legislative/2016/portraits/legislator_r_michael_young_645,2011-04-08 18:48:34.169000,2017-01-09 06:35:33.483000
INL000049,Richard D. Young Jr.,Richard,,Young,,,False,in,,,,http://iga.in.gov/legislative/2014/portraits/legislator_richard_young_208/,2011-04-08 18:48:34.171000,2014-12-09 22:55:22.839000
