leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
KSL000001,Pat Apple,Pat,,Apple,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_apple_pat_1.jpg,2011-12-07 01:27:15.163000,2014-12-09 07:38:16.078000
KSL000002,Terry Bruce,Terry,,Bruce,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_bruce_terry_1.jpg,2011-12-07 01:27:15.192000,2017-01-10 23:18:21.077000
KSL000003,Pete Brungardt,Pete,,Brungardt,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/brungardt_pete.jpg,2011-12-07 01:27:15.201000,2013-01-09 18:44:08.379000
KSL000004,Les Donovan,Les,,Donovan,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_donovan_les_1.jpg,2011-12-07 01:27:15.211000,2017-01-10 23:18:21.071000
KSL000005,Jay Emler,Jay,,Emler,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_emler_jay_1.jpg,2011-12-07 01:27:15.221000,2014-12-09 07:38:16.069000
KSL000011,Terrie Huntington,Terrie,,Huntington,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/huntington_terrie.jpg,2011-12-07 01:27:15.297000,2014-12-09 07:38:16.071000
KSL000013,Dick Kelsey,Dick,,Kelsey,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/kelsey_dick.jpg,2011-12-07 01:27:15.317000,2013-01-09 18:44:08.380000
KSL000014,Jeff King,Jeff,,King,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_king_jeff_1.jpg,2011-12-07 01:27:15.327000,2017-01-10 23:18:21.065000
KSL000015,Kelly Kultala,Kelly,,Kultala,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/kultala_kelly.jpg,2011-12-07 01:27:15.337000,2014-12-09 07:38:16.073000
KSL000017,Garrett Love,Garrett,,Love,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/sen_love_garrett_1.jpg,2011-12-07 01:27:15.389000,2017-01-10 23:18:21.062000
KSL000019,Bob Marshall,Bob,,Marshall,,,False,ks,,,,http://www.kslegislature.org/li/m/images/pics/marshall_bob.jpg,2011-12-07 01:27:15.409000,2013-01-09 18:44:08.336000
