leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MAL000001,Steven A. Baddour,Steven,A.,Baddour,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/sbaddour.jpg,2011-07-08 21:34:37.089000,2013-01-04 00:07:59.493000
MAL000002,Frederick E. Berry,Frederick,E.,Berry,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/fberry.jpg,2011-07-08 21:34:37.091000,2013-01-04 00:07:59.471000
MAL000003,Stephen M. Brewer,Stephen,M.,Brewer,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/sbrewer.jpg,2011-07-08 21:34:37.092000,2015-01-09 19:28:50.258000
MAL000004,Gale D. Candaras,Gale,D.,Candaras,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/gcandaras.jpg,2011-07-08 21:34:37.094000,2015-01-09 19:28:50.244000
MAL000007,Katherine Clark,Katherine M.,,Clark,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/kclark.jpg,2011-07-08 21:34:37.100000,2014-04-21 13:57:12.091000
MAL000012,Benjamin B. Downing,Benjamin,B.,Downing,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/bdowning.jpg,2011-07-08 21:34:37.109000,2017-01-09 06:44:03.819000
MAL000014,Susan C. Fargo,Susan,C.,Fargo,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/sfargo.jpg,2011-07-08 21:34:37.113000,2013-01-04 00:07:59.472000
MAL000015,Barry R. Finegold,Barry,R.,Finegold,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/bfinegold.jpg,2011-07-08 21:34:37.114000,2015-01-09 19:28:50.249000
MAL000017,Jack Hart,Jack,,Hart,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/jhart.jpg,2011-07-08 21:34:37.118000,2013-06-17 14:51:07.758000
MAL000018,Robert L. Hedlund,Robert,L.,Hedlund,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/rhedlund.jpg,2011-07-08 21:34:37.120000,2016-02-19 19:36:44.872000
MAL000020,Brian A. Joyce,Brian,A.,Joyce,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/bjoyce.jpg,2011-07-08 21:34:37.124000,2017-01-09 06:44:03.820000
MAL000022,Thomas P. Kennedy,Thomas,P.,Kennedy,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/tkennedy.jpg,2011-07-08 21:34:37.127000,2015-12-11 21:50:12.962000
MAL000023,Michael R. Knapik,Michael,R.,Knapik,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/mknapik.jpg,2011-07-08 21:34:37.129000,2013-11-21 14:37:41.265000
MAL000027,Richard T. Moore,Richard,T.,Moore,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/rmoore.jpg,2011-07-08 21:34:37.137000,2015-01-09 19:28:50.255000
MAL000028,Therese Murray,Therese,,Murray,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/tmurray.jpg,2011-07-08 21:34:37.163000,2015-01-09 19:28:50.246000
MAL000030,Anthony Petruccelli,Anthony W.,,Petruccelli,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/apetruccelli.jpg,2011-07-08 21:34:37.167000,2016-02-19 19:34:05.957000
MAL000038,Steven A. Tolman,Steven,A.,Tolman,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/stolman.jpg,2011-07-08 21:34:37.181000,2012-06-29 04:07:33.995000
MAL000040,Daniel A. Wolf,Daniel,A.,Wolf,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/dwolf.jpg,2011-07-08 21:34:37.185000,2017-01-09 06:44:03.822000
MAL000041,Paul Adams,Paul,,Adams,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/padams.jpg,2011-07-08 21:34:37.187000,2013-01-04 00:07:59.474000
MAL000042,Kevin Aguiar,Kevin,,Aguiar,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/kaguiar.jpg,2011-07-08 21:34:37.189000,2013-01-04 00:07:59.475000
MAL000043,Denise Andrews,Denise,,Andrews,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/deandrews.jpg,2011-07-08 21:34:37.191000,2015-01-09 19:28:50.228000
MAL000044,James Arciero,James,,Arciero,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/jarciero.jpg,2011-07-08 21:34:37.192000,2017-01-09 06:44:03.692000
MAL000045,Brian M. Ashe,Brian,M.,Ashe,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/bashe.jpg,2011-07-08 21:34:37.194000,2017-01-09 06:44:03.635000
MAL000046,Cory Atkins,Cory,,Atkins,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/catkins.jpg,2011-07-08 21:34:37.196000,2017-01-09 06:44:03.651000
MAL000047,Demetrius J. Atsalis,Demetrius,J.,Atsalis,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/datsalis.jpg,2011-07-08 21:34:37.198000,2013-01-04 00:07:59.476000
MAL000048,Bruce J. Ayers,Bruce,J.,Ayers,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/bayers.jpg,2011-07-08 21:34:37.200000,2017-01-09 06:44:03.638000
MAL000049,Ruth B. Balser,Ruth,B.,Balser,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/rbalser.jpg,2011-07-08 21:34:37.202000,2017-01-09 06:44:03.782000
MAL000050,F. Jay Barrows,F. Jay,,Barrows,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/fbarrows.jpg,2011-07-08 21:34:37.203000,2017-01-09 06:44:03.681000
MAL000051,Carlo P. Basile,Carlo,P.,Basile,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/cbasile.jpg,2011-07-08 21:34:37.205000,2015-01-09 19:28:50.220000
MAL000052,Richard Bastien,Richard,,Bastien,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/rbastien.jpg,2011-07-08 21:34:37.207000,2013-01-04 00:07:59.478000
MAL000053,Matthew A. Beaton,Matthew,A.,Beaton,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/mbeaton.jpg,2011-07-08 21:34:37.209000,2015-01-09 19:28:50.204000
MAL000054,Jennifer E. Benson,Jennifer,E.,Benson,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/jbenson.jpg,2011-07-08 21:34:37.211000,2017-01-09 06:44:03.707000
MAL000055,John J. Binienda,John,J.,Binienda,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/jbinienda.jpg,2011-07-08 21:34:37.213000,2015-01-09 19:28:50.230000
MAL000056,Nicholas A. Boldyga,Nicholas,A.,Boldyga,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/nboldyga.jpg,2011-07-08 21:34:37.215000,2017-01-09 06:44:03.758000
MAL000057,Garrett J. Bradley,Garrett,J.,Bradley,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/gbradley.jpg,2011-07-08 21:34:37.216000,2017-01-09 06:44:03.685000
MAL000059,Paul A. Brodeur,Paul,A.,Brodeur,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/pbrodeur.jpg,2011-07-08 21:34:37.220000,2017-01-09 06:44:03.762000
MAL000061,Antonio F.D. Cabral,Antonio,F.D.,Cabral,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/acabral.jpg,2011-07-08 21:34:37.230000,2017-01-09 06:44:03.629000
MAL000062,Thomas J. Calter,Thomas,J.,Calter,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/tcalter.jpg,2011-07-08 21:34:37.232000,2017-01-09 06:44:03.800000
MAL000063,Linda Dean Campbell,Linda,Dean,Campbell,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/ldcampbell.jpg,2011-07-08 21:34:37.234000,2017-01-09 06:44:03.735000
MAL000064,Christine E. Canavan,Christine,E.,Canavan,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/ccanavan.jpg,2011-07-08 21:34:37.236000,2015-01-09 19:28:50.236000
MAL000065,James M. Cantwell,James,M.,Cantwell,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/jcantwell.jpg,2011-07-08 21:34:37.238000,2017-01-09 06:44:03.697000
MAL000066,Gailanne M. Cariddi,Gailanne,M.,Cariddi,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/gcariddi.jpg,2011-07-08 21:34:37.240000,2017-01-09 06:44:03.684000
MAL000067,Tackey Chan,Tackey,,Chan,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/tchan.jpg,2011-07-08 21:34:37.241000,2017-01-09 06:44:03.797000
MAL000068,Cheryl A. Coakley-Rivera,Cheryl,A.,Coakley-Rivera,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/ccoakleyrivera.jpg,2011-07-08 21:34:37.243000,2015-01-09 19:28:50.234000
MAL000069,Nick Collins,Nick,,Collins,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/ncollins.jpg,2011-07-08 21:34:37.245000,2017-01-09 06:44:03.760000
MAL000070,Thomas P. Conroy,Thomas,P.,Conroy,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/tconroy.jpg,2011-07-08 21:34:37.247000,2015-01-09 19:28:50.238000
MAL000071,Edward F. Coppinger,Edward,F.,Coppinger,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/ecoppinger.jpg,2011-07-08 21:34:37.249000,2017-01-09 06:44:03.675000
MAL000072,Michael A. Costello,Michael,A.,Costello,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/mcostello.jpg,2011-07-08 21:34:37.251000,2015-01-09 19:28:50.216000
MAL000073,Geraldine Creedon,Geraldine,,Creedon,,,False,ma,,,,http://www.malegislature.gov/Images/MemberProfile/Web/gcreedon.jpg,2011-07-08 21:34:37.253000,2013-01-04 00:07:59.479000
MAL000074,Sean Curran,Sean,,Curran,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/scurran.jpg,2011-07-08 21:34:37.254000,2015-01-09 19:28:50.224000
MAL000075,Mark J. Cusack,Mark,J.,Cusack,,,False,ma,,,,https://malegislature.gov/Images/MemberProfile/Web/mcusack.jpg,2011-07-08 21:34:37.256000,2017-01-09 06:44:03.750000
