leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MDL000080,Ann Marie Doory,Ann Marie,,Doory,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2578b.jpg,2010-07-12 16:17:11.905000,2011-01-12 16:13:14.491000
MDL000191,David R Brinkley,David,R,Brinkley,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/brinkley.jpg,2010-08-27 22:54:37.776000,2015-01-14 21:51:12.556000
MDL000193,Richard F Colburn,Richard,F,Colburn,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/colburn.jpg,2010-08-27 22:54:37.779000,2015-01-14 21:51:12.553000
MDL000197,George W Della Jr.,George,W,Della,Jr.,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1176b.jpg,2010-08-27 22:54:37.784000,2011-01-12 16:13:14.498000
MDL000198,Roy P Dyson,Roy,P,Dyson,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/dyson.jpg,2010-08-27 22:54:37.785000,2015-01-14 21:51:12.546000
MDL000200,Nathaniel Exum,Nathaniel,,Exum,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1057c.jpg,2010-08-27 22:54:37.788000,2011-01-12 16:13:14.497000
MDL000201,Jennie M Forehand,Jennie,M,Forehand,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/forehand.jpg,2010-08-27 22:54:37.808000,2015-01-14 21:51:12.544000
MDL000202,Brian E Frosh,Brian,E,Frosh,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/frosh.jpg,2010-08-27 22:54:37.810000,2015-01-14 21:51:12.542000
MDL000203,Robert J Garagiola,Robert,J,Garagiola,,,False,md,,,,http://mgaleg.maryland.gov/2013RS/images/garagiola.jpg,2010-08-27 22:54:37.811000,2014-12-03 03:10:36.755000
MDL000204,Lisa A Gladden,Lisa,A,Gladden,,,False,md,,,,http://mgaleg.maryland.gov/2017RS/images/gladden.jpg,2010-08-27 22:54:37.812000,2017-02-24 03:30:53.302000
MDL000205,Barry Glassman,Barry,,Glassman,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/glassman.jpg,2010-08-27 22:54:37.813000,2015-01-14 21:51:12.551000
MDL000206,Larry E Haines,Larry,E,Haines,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1172b.jpg,2010-08-27 22:54:37.815000,2011-01-12 16:13:14.499000
MDL000207,David C Harrington,David,C,Harrington,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/36loc/pg/leg/images/1198-1-2575b.jpg,2010-08-27 22:54:37.816000,2011-01-12 16:13:14.498000
MDL000208,Andrew P Harris,Andrew,P,Harris,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1013c.jpg,2010-08-27 22:54:37.817000,2011-01-12 16:13:14.499000
MDL000209,Nancy Jacobs,Nancy,,Jacobs,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/jacobs.jpg,2010-08-27 22:54:37.819000,2015-01-14 21:51:12.549000
MDL000210,Verna L. Jones-Rodwell,Verna,L,Jones-Rodwell,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/jones v.jpg,2010-08-27 22:54:37.820000,2015-01-14 21:51:12.559000
MDL000214,Allan H Kittleman,Allan,H,Kittleman,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/kittleman.jpg,2010-08-27 22:54:37.825000,2015-01-14 21:51:12.564000
MDL000216,Rona E Kramer,Rona,E,Kramer,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1142c.jpg,2010-08-27 22:54:37.828000,2011-01-12 16:13:14.495000
MDL000217,Michael G Lenett,Michael,G,Lenett,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-2526b.jpg,2010-08-27 22:54:37.829000,2011-01-12 16:13:14.496000
MDL000222,Alex X Mooney,Alex,X,Mooney,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-1475b.jpg,2010-08-27 22:54:37.835000,2011-01-12 16:13:14.497000
MDL000223,Donald F Munson,Donald,F,Munson,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-007b.jpg,2010-08-27 22:54:37.837000,2011-01-12 16:13:14.496000
MDL000227,E. J. Pipkin,E. J.,,Pipkin,,,False,md,,,,http://mgaleg.maryland.gov/2013RS/images/pipkin.jpg,2010-08-27 22:54:37.842000,2013-10-10 14:16:47.935000
MDL000228,Catherine E Pugh,Catherine,E,Pugh,,,False,md,,,,http://mgaleg.maryland.gov/2016RS/images/pugh.jpg,2010-08-27 22:54:37.843000,2017-02-24 03:28:47.147000
MDL000229,Jamin B Raskin,Jamin,B,Raskin,,Jaime,False,md,,,,http://mgaleg.maryland.gov/2016RS/images/raskin.jpg,2010-08-27 22:54:37.844000,2017-02-24 03:27:18.354000
MDL000231,James N Robey,James,N,Robey,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/robey.jpg,2010-08-27 22:54:37.847000,2015-01-14 21:51:12.540000
MDL000234,J. Lowell Stoltzfus,J. Lowell,,Stoltzfus,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/05sen/images/1198-1-624b.jpg,2010-08-27 22:54:37.851000,2011-01-12 16:13:14.497000
MDL000235,Norman R Stone Jr.,Norman,R,Stone,Jr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/stone.jpg,2010-08-27 22:54:37.852000,2015-01-14 21:51:12.561000
MDL000237,Saqib Ali,Saqib,,Ali,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2756b.jpg,2010-08-27 22:54:37.855000,2011-01-12 16:13:14.490000
MDL000242,Scherod C Barnes,Scherod,C,Barnes,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-4478b.jpg,2010-08-27 22:54:37.861000,2011-01-12 16:13:14.492000
MDL000243,Joseph R Bartlett,Joseph,R,Bartlett,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-3453b.jpg,2010-08-27 22:54:37.862000,2011-01-12 16:13:14.493000
MDL000249,Elizabeth Bobo,Elizabeth,,Bobo,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/bobo.jpg,2010-08-27 22:54:37.870000,2015-01-14 21:51:12.373000
MDL000250,John L Bohanan Jr.,John,L,Bohanan,Jr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/bohanan.jpg,2010-08-27 22:54:37.871000,2015-01-14 21:51:12.417000
MDL000251,Joseph C Boteler III,Joseph,C,Boteler,III,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/boteler.jpg,2010-08-27 22:54:37.873000,2015-01-14 21:51:12.534000
MDL000253,Aisha N Braveboy,Aisha,N,Braveboy,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/braveboy.jpg,2010-08-27 22:54:37.875000,2015-01-14 21:51:12.400000
MDL000254,Karen M Britto,Karen,M,Britto,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-4405b.jpg,2010-08-27 22:54:37.877000,2011-01-12 16:13:14.483000
MDL000256,Emmett C Burns Jr.,Emmett,C,Burns,Jr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/burns e.jpg,2010-08-27 22:54:37.879000,2015-01-14 21:51:12.358000
MDL000258,Rudolph C Cane,Rudolph,C,Cane,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/cane.jpg,2010-08-27 22:54:37.882000,2015-01-14 21:51:12.469000
MDL000259,Jon S Cardin,Jon,S,Cardin,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/cardin.jpg,2010-08-27 22:54:37.883000,2015-01-14 21:51:12.366000
MDL000261,Jill P Carter,Jill,P,Carter,,,False,md,,,,http://mgaleg.maryland.gov/2017RS/images/carter.jpg,2010-08-27 22:54:37.886000,2017-02-24 03:43:16.011000
MDL000262,Galen R Clagett,Galen,R,Clagett,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/clagett g.jpg,2010-08-27 22:54:37.887000,2015-01-14 21:51:12.483000
MDL000263,Virginia P Clagett,Virginia,P,Clagett,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-3611b.jpg,2010-08-27 22:54:37.888000,2011-01-12 16:13:14.487000
MDL000265,Norman H Conway,Norman,H,Conway,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/conway.jpg,2010-08-27 22:54:37.891000,2015-01-14 21:51:12.476000
MDL000266,Robert A Costa,Robert,A,Costa,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/costa.jpg,2010-08-27 22:54:37.892000,2015-01-14 21:51:12.445000
MDL000268,Steven J DeBoy Sr.,Steven,J,DeBoy,Sr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/deboy.jpg,2010-08-27 22:54:37.895000,2015-01-14 21:51:12.368000
MDL000269,John P Donoghue,John,P,Donoghue,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/donoghue.jpg,2010-08-27 22:54:37.896000,2015-01-14 21:51:12.422000
MDL000271,Don H Dwyer Jr.,Don,H,Dwyer,Jr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/dwyer.jpg,2010-08-27 22:54:37.898000,2015-01-14 21:51:12.434000
MDL000273,Donald B Elliott,Donald,B,Elliott,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/elliott.jpg,2010-08-27 22:54:37.901000,2015-01-14 21:51:12.518000
MDL000274,Carolyn J Elmore,Carolyn,J,Elmore,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-4470b.jpg,2010-08-27 22:54:37.902000,2011-01-12 16:13:14.489000
MDL000276,William J Frank,William,J,Frank,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/frank.jpg,2010-08-27 22:54:37.905000,2015-01-14 21:51:12.492000
MDL000280,Ronald A George,Ronald,A,George,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/george.jpg,2010-08-27 22:54:37.930000,2015-01-14 21:51:12.424000
MDL000283,Melony G Griffith,Melony,G,Griffith,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/griffith.jpg,2010-08-27 22:54:37.934000,2015-01-14 21:51:12.404000
MDL000286,Jeannie Haddaway-Riccio,Jeannie,,Haddaway-Riccio,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/haddaway.jpg,2010-08-27 22:54:37.938000,2015-01-14 21:51:12.474000
MDL000287,Peter A Hammen,Peter,A,Hammen,,,False,md,,,,http://mgaleg.maryland.gov/2016RS/images/hammen.jpg,2010-08-27 22:54:37.939000,2017-02-24 03:46:35.805000
MDL000288,Hattie N Harrison,Hattie,N,Harrison,,,False,md,,,,http://mgaleg.maryland.gov/2013RS/images/harrison.jpg,2010-08-27 22:54:37.940000,2014-12-03 03:10:36.754000
MDL000291,C. Sue Hecht,C. Sue,,Hecht,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1649b.jpg,2010-08-27 22:54:37.944000,2011-01-12 16:13:14.490000
MDL000292,Henry B Heller,Henry,B,Heller,,Hank,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1502b.jpg,2010-08-27 22:54:37.946000,2011-01-12 16:13:14.484000
MDL000296,James W Hubbard,James,W,Hubbard,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/hubbard.jpg,2010-08-27 22:54:37.951000,2015-01-14 21:51:12.396000
MDL000297,Tom Hucker,Tom,,Hucker,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/hucker.jpg,2010-08-27 22:54:37.952000,2015-01-14 21:51:12.391000
MDL000299,Jolene Ivey,Jolene,,Ivey,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/ivey.jpg,2010-08-27 22:54:37.955000,2015-01-14 21:51:12.508000
MDL000300,Mary-Dulany James,Mary-Dulany,,James,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/james.jpg,2010-08-27 22:54:37.956000,2015-01-14 21:51:12.447000
MDL000302,Charles A Jenkins,Charles,A,Jenkins,,,False,md,,,,http://www.mdarchives.us/msa/mdmanual/36loc/fr/leg/images/1198-1-4185b.jpg,2010-08-27 22:54:37.959000,2011-01-12 16:13:14.491000
MDL000305,A. Wade Kach,Wade,,Kach,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/kach.jpg,2010-08-27 22:54:37.963000,2015-01-14 21:51:12.524000
MDL000307,Kevin Kelly,Kevin,,Kelly,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/kelly k.jpg,2010-08-27 22:54:37.965000,2015-01-14 21:51:12.386000
MDL000308,James J King,James,J,King,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-2524b.jpg,2010-08-27 22:54:37.966000,2011-01-12 16:13:14.487000
MDL000310,Ruth M Kirk,Ruth,M,Kirk,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-218c.jpg,2010-08-27 22:54:37.969000,2011-01-12 16:13:14.492000
MDL000313,Carolyn J Krysiak,Carolyn,J,Krysiak,,,False,md,,,,http://www.msa.md.gov/msa/mdmanual/06hse/images/1198-1-1219b.jpg,2010-08-27 22:54:37.973000,2011-01-12 16:13:14.492000
MDL000314,Sue Kullen,Sue,,Kullen,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-2573b.jpg,2010-08-27 22:54:37.974000,2011-01-12 16:13:14.485000
MDL000317,Gerron S Levi,Gerron,S,Levi,,,False,md,,,,http://mdarchives.us/msa/mdmanual/06hse/images/1198-1-1647b.jpg,2010-08-27 22:54:37.978000,2011-01-12 16:13:14.485000
MDL000318,Murray D Levy,Murray,D,Levy,,,False,md,,,,http://www.mdarchives.us/msa/mdmanual/06hse/images/1198-1-1677b.jpg,2010-08-27 22:54:37.979000,2011-01-12 16:13:14.486000
MDL000319,Mary Ann Love,Mary Ann E.,,Love,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/love.jpg,2010-08-27 22:54:37.981000,2015-01-14 21:51:12.438000
MDL000320,James E Malone Jr.,James,E,Malone,Jr.,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/malone.jpg,2010-08-27 22:54:37.982000,2015-01-14 21:51:12.371000
MDL000326,Brian K McHale,Brian,K,McHale,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/mchale.jpg,2010-08-27 22:54:38.016000,2015-01-14 21:51:12.505000
MDL000329,Joseph J Minnick,Joseph,J,Minnick,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/minnick.jpg,2010-08-27 22:54:38.019000,2015-01-14 21:51:12.527000
MDL000330,Heather R Mizeur,Heather,R,Mizeur,,,False,md,,,,http://mgaleg.maryland.gov/2014RS/images/mizeur.jpg,2010-08-27 22:54:38.021000,2015-01-14 21:51:12.393000
