leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MEL000003,Jonathan T.E. Courtney,Jonathan,T.E.,Courtney,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/courtney.jpg,2011-06-13 17:13:38.698000,2014-12-02 04:04:50.043000
MEL000004,Nancy B. Sullivan,Nancy,B.,Sullivan,,,False,me,,,,http://www.mainesenate.org/wp-content/uploads/2011/02/sullivan.png,2011-06-13 17:13:38.700000,2014-12-02 04:04:50.057000
MEL000005,Barry J. Hobbins,Barry J.,,Hobbins,,,False,me,,,,http://www.maine.gov/legis/house/photo127/hobbbj.jpg,2011-06-13 17:13:38.702000,2016-12-27 23:49:34.225000
MEL000006,Philip L. Bartlett,Philip,L.,Bartlett,,,False,me,,,,,2011-06-13 17:13:38.704000,2014-12-02 04:04:50.059000
MEL000007,Lawrence S. Bliss,Lawrence,S.,Bliss,,,False,me,,,,http://maine.gov/legis/house/history/123rd/photo123/blisl_.jpg,2011-06-13 17:13:38.706000,2012-06-05 14:19:29.184000
MEL000008,Justin L. Alfond,Justin,L.,Alfond,,,False,me,,,,http://senatedems.maine.gov/alfond/images/JustinAlfondHeadshot-md.jpg,2011-06-13 17:13:38.723000,2017-01-29 04:35:03.066000
MEL000009,Joseph C. Brannigan,Joseph,C.,Brannigan,,,False,me,,,,http://senatedems.maine.gov/brannigan/images/Senator%20Joe%20Brannigan-med.jpg,2011-06-13 17:13:38.872000,2014-12-02 04:04:50.061000
MEL000010,Stanley J. Gerzofsky,Stanley,J.,Gerzofsky,,,False,me,,,,http://senatedems.maine.gov/gerzofsky/images/Stangerzofsky.jpg,2011-06-13 17:13:38.875000,2017-06-01 07:01:20.152000
MEL000011,Richard G. Woodbury,Richard,G.,Woodbury,,,False,me,,,,http://maine.gov/legis/house/history/123rd/photo123/woodrg.jpg,2011-06-13 17:13:38.879000,2015-01-05 15:45:00.956000
MEL000012,Bill Diamond,Bill,,Diamond,,,False,me,,,,http://senatedems.maine.gov/diamond/images/billdiamondhead-med.jpg,2011-06-13 17:13:38.881000,2014-12-02 04:04:50.044000
MEL000013,David R. Hastings,David,R.,Hastings,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/hastings.jpg,2011-06-13 17:13:38.883000,2014-12-02 04:04:50.058000
MEL000014,John L. Patrick,John,L.,Patrick,,,False,me,,,,http://www.maine.gov/legis/house/history/123rd/photo123/patrjl.jpg,2011-06-13 17:13:39.036000,2017-06-01 07:01:20.146000
MEL000015,Lois A. Snowe-Mello,Lois,A.,Snowe-Mello,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/snowe-mello.jpg,2011-06-13 17:13:39.038000,2014-12-02 04:04:50.064000
MEL000016,Margaret M. Craven,Margaret,M.,Craven,,,False,me,,,,http://www.maine.gov/legis/house/history/122nd/photo122/cravmm.jpg,2011-06-13 17:13:39.039000,2015-01-05 15:45:00.963000
MEL000019,Seth A. Goodall,Seth,A.,Goodall,,,False,me,,,,http://www.maine.gov/legis/senate/images/goodall.jpg,2011-06-13 17:13:39.066000,2013-10-09 14:36:52.630000
MEL000020,A. David Trahan, A.,David,Trahan,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/trahan.jpg,2011-06-13 17:13:39.108000,2013-01-04 00:07:12.277000
MEL000021,Earle L. McCormick,Earle,L.,McCormick,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/mccormick.jpg,2011-06-13 17:13:39.117000,2017-06-01 07:01:20.145000
MEL000022,Christopher W. Rector,Christopher,W.,Rector,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/rector.jpg,2011-06-13 17:13:39.118000,2013-01-04 00:07:12.255000
MEL000025,Thomas H. Martin,Thomas,H.,Martin,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/martin.jpg,2011-06-13 17:13:39.144000,2013-01-04 00:07:12.237000
MEL000027,Douglas A. Thomas,Douglas,A.,Thomas,,,False,me,,,,http://www.maine.gov/legis/senate_gop/_images/thomas.jpg,2011-06-13 17:13:39.157000,2015-01-05 15:45:00.979000
