leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MIL000001,Coleman Young II,Coleman,,Young,II,,False,mi,,,,http://media.senatedems.com/dynaimg-files/site_portrait.jpg/district-001.jpg,2011-04-07 20:15:34.806000,2015-01-14 17:15:12.041000
MIL000003,Morris W Hood III,Morris W,,Hood,III,,False,mi,,,,http://media.senatedems.com/dynaimg-files/site_portrait.jpg/district-003.jpg,2011-04-07 20:15:34.908000,2015-01-14 17:15:12.070000
MIL000004,Virgil Smith,Virgil,,Smith,,,False,mi,,,,http://www.2minutesites.com/member_files/fd6664ec02d56ba952b5b7c06f48bca1/imaging/uploads/Smith%20headshot.jpg,2011-04-07 20:15:34.910000,2017-01-06 06:00:41.364000
MIL000005,Tupac A. Hunter,Tupac A.,,Hunter,,,False,mi,,,,http://media.senatedems.com/dynaimg-files/site_portrait.jpg/district-005.jpg,2011-04-07 20:15:34.973000,2015-01-14 17:15:12.079000
MIL000006,Glenn Anderson,Glenn,,Anderson,,,False,mi,,,,http://media.senatedems.com/dynaimg-files/site_portrait.jpg/district-006.jpg,2011-04-07 20:15:35.160000,2015-01-14 17:15:12.081000
MIL000013,John Pappageorge,John,,Pappageorge,,,False,mi,,,,http://www.misenategop.com/senators_headshots/Pappageorge.jpg,2011-04-07 20:15:35.199000,2015-01-14 17:15:12.046000
MIL000016,Bruce Caswell,Bruce,,Caswell,,,False,mi,,,,http://www.misenategop.com/senators_headshots/Caswell.jpg,2011-04-07 20:15:35.204000,2015-01-14 17:15:12.051000
MIL000017,Randy Richardville,Randy,,Richardville,,,False,mi,,,,http://www.misenategop.com/senators_headshots/Richardville.jpg,2011-04-07 20:15:35.206000,2015-01-14 17:15:12.053000
MIL000023,Gretchen Whitmer,Gretchen,,Whitmer,,,False,mi,,,,http://media.senatedems.com/dynaimg-files/site_portrait.jpg/district-023.jpg,2011-04-07 20:15:35.280000,2015-01-14 17:15:12.063000
MIL000027,John Gleason,John,,Gleason,,,False,mi,,,,,2011-04-07 20:15:35.294000,2013-01-10 00:03:00.223000
