leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MNL000001,Ellen R Anderson,Ellen,R,Anderson,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/66Anderson.jpg,2010-12-17 08:18:51,2012-06-05 21:41:57
MNL000003,Linda Berglin,Linda,,Berglin,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/61Berglin.jpg,2010-12-17 08:18:51,2012-06-28 19:55:08
MNL000004,Don Betzold,Don,,Betzold,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000005,Terri E Bonoff,Terri,E,Bonoff,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/44Bonoff.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.243000
MNL000007,Satveer S Chaudhary,Satveer,S,Chaudhary,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000008,Tarryl L Clark,Tarryl,L,Clark,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000010,Kevin L Dahle,Kevin,L,Dahle,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/20Dahle.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.234000
MNL000012,Steve Dille,Steve,,Dille,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000013,John P Doll,John,P,Doll,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000014,Sharon L Erickson Ropes,Sharon,L,Erickson Ropes,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000016,Lisa A Fobbe,Lisa,A,Fobbe,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000017,Leo T Foley,Leo,T,Foley,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000018,Dennis R Frederickson,Dennis,R,Frederickson,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000019,Chris Gerlach,Chris,,Gerlach,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/37Gerlach.jpg,2010-12-17 08:18:51,2013-01-11 16:53:09.781000
MNL000020,Joe Gimse,Joe,,Gimse,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/13Gimse.jpg,2010-12-17 08:18:51,2013-01-11 16:40:54.662000
MNL000021,David W Hann,David,W,Hann,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/48Hann.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.225000
MNL000022,Linda Higgins,Linda,,Higgins,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/58Higgins.jpg,2010-12-17 08:18:51,2013-01-11 16:57:57.187000
MNL000024,Debbie J Johnson,Debbie,J,Johnson,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000025,Michael J Jungbauer,Michael,J,Jungbauer,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/48Jungbauer.jpg,2010-12-17 08:18:51,2013-01-11 16:58:19.134000
MNL000026,Kenneth S Kelash,Kenneth,S,Kelash,,Ken,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/63Kelash.jpg,2010-12-17 08:18:51,2013-01-11 16:57:50.991000
MNL000027,Amy T Koch,Amy,T,Koch,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/19Koch.jpg,2010-12-17 08:18:51,2013-01-11 16:42:28.054000
MNL000028,Paul E Koering,Paul,E,Koering,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000029,Gary W Kubly,Gary,W,Kubly,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/20Kubly.jpg,2010-12-17 08:18:51,2012-06-05 21:32:29
MNL000030,Keith Langseth,Keith,,Langseth,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/09Langseth.jpg,2010-12-17 08:18:51,2013-01-11 16:36:23.878000
MNL000034,Ann Lynch,Ann,,Lynch,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000036,James P Metzen,James,P,Metzen,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/52Metzen.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.226000
MNL000037,Geoff Michel,Geoff,,Michel,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/41Michel.jpg,2010-12-17 08:18:51,2013-01-11 16:57:33.327000
MNL000038,Mee Moua,Mee,,Moua,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000039,Steve Murphy,Steve,,Murphy,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000040,Rick E Olseen,Rick,E,Olseen,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000041,Gen Olson,Gen,,Olson,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/33Olson.jpg,2010-12-17 08:18:51,2013-01-11 16:53:30.804000
MNL000042,Mary A Olson,Mary,A,Olson,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000043,Julianne E Ortman,Julianne,E,Ortman,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/47Ortman.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.229000
MNL000045,Pat Pariseau,Pat,,Pariseau,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000046,Mike Parry,Mike,,Parry,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/26Parry.jpg,2010-12-17 08:18:51,2013-01-11 16:45:33.481000
MNL000047,Lawrence J Pogemiller,Lawrence,J,Pogemiller,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/59Pogemiller.jpg,2010-12-17 08:18:51,2012-06-05 21:37:26
MNL000048,Yvonne Prettner Solon,Yvonne,,Prettner Solon,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000050,Claire A Robling,Claire,A,Robling,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/35Robling.jpg,2010-12-17 08:18:51,2013-01-11 16:52:42.419000
MNL000052,Sandy Rummel,Sandy,,Rummel,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000053,Kathy L Saltzman,Kathy,L,Saltzman,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000054,Tom Saxhaug,Tom,,Saxhaug,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/05Saxhaug.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.244000
MNL000055,Linda Scheid,Linda,,Scheid,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/46Scheid.jpg,2010-12-17 08:18:51,2012-06-05 21:35:09
MNL000057,Kathy Sheran,Kathy,,Sheran,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/19Sheran.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.231000
MNL000058,Katie Sieben,Katie,,Sieben,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/54Sieben.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.232000
MNL000059,Rod Skoe,Rod,,Skoe,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/02Skoe.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.239000
MNL000060,Dan Skogen,Dan,,Skogen,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000062,LeRoy A Stumpf,LeRoy,A,Stumpf,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/01Stumpf.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.235000
MNL000065,Ray Vandeveer,Ray,,Vandeveer,,,False,mn,,,,http://www.senate.leg.state.mn.us//graphics/52Vandeveer.jpg,2010-12-17 08:18:51,2013-01-11 16:58:09.539000
MNL000066,Jim Vickerman,Jim,,Vickerman,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:37
MNL000068,David Olin,David,,Olin,,Dave,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:36
MNL000069,Bernard Lieder,Bernard,,Lieder,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:36
MNL000071,Brita Sailer,Brita,,Sailer,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:36
MNL000072,Tom Anzelc,Tom,,Anzelc,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls89/tn_05B.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.215000
MNL000073,Loren Solberg,Loren,,Solberg,,,False,mn,,,,,2010-12-17 08:18:51,2011-01-12 21:46:36
MNL000074,John Persell,John,,Persell,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls89/tn_05A.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.204000
MNL000075,Larry Howes,Larry,,Howes,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls87/04B.GIF,2010-12-17 08:18:51,2013-01-04 19:43:30.724000
MNL000076,Tom Rukavina,Tom,,Rukavina,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls87/05A.GIF,2010-12-17 08:18:51,2013-01-04 18:50:26.003000
MNL000077,Anthony Sertich,Anthony,,Sertich,,Tony,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls87/05B.GIF,2010-12-17 08:18:51,2012-07-10 21:32:39
MNL000078,David Dill,David,,Dill,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls89/tn_03A.jpg,2010-12-17 08:18:51,2015-12-14 16:23:27.379000
MNL000080,Thomas Huntley,Thomas,,Huntley,,,False,mn,,,,http://www.house.leg.state.mn.us/hinfo/memberimgls88/07A.jpg,2010-12-17 08:18:51,2015-02-04 17:17:10.820000
MNL000081,Roger J Reinert,Roger,J,Reinert,,,False,mn,,,,http://www.senate.mn/graphics/member_thumbnails/07Reinert.jpg,2010-12-17 08:18:51,2017-01-02 07:01:04.240000
