leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MOL000002,Victor Callahan,Victor,,Callahan,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d11-photo.gif,2012-03-07 01:44:45.281000,2013-01-07 16:28:43.598000
MOL000004,Jason Crowell,Jason,,Crowell,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/D27-photo.gif,2012-03-07 01:44:45.295000,2013-01-07 16:28:43.601000
MOL000005,Jane Cunningham,Jane,,Cunningham,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d07-photo051211.gif,2012-03-07 01:44:45.325000,2013-01-07 16:28:43.553000
MOL000007,Tom Dempsey,Tom,,Dempsey,,,False,mo,,,,http://www.senate.mo.gov/15info/graphics/d23-photo.gif,2012-03-07 01:44:45.370000,2016-07-07 06:30:44.019000
MOL000010,Jack Goodman,Jack,,Goodman,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d29-photo.gif,2012-03-07 01:44:45.397000,2013-01-07 16:28:43.604000
MOL000011,Timothy P. Green,Timothy P.,,Green,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d13-photo.gif,2012-03-07 01:44:45.412000,2013-01-07 16:28:43.874000
MOL000012,Jolie Justus,Jolie,,Justus,,,False,mo,,,,http://www.senate.mo.gov/15info/graphics/d10-photo.gif,2012-03-07 01:44:45.420000,2015-01-15 16:15:05.690000
MOL000013,Joseph Keaveny,Joseph,,Keaveny,,,False,mo,,,,http://www.senate.mo.gov/17web/wp-content/uploads/2015/11/301px-Seal_of_the_Senate_of_Missouri_svg-e1448041814274.png,2012-03-07 01:44:45.429000,2017-01-29 19:46:29.714000
MOL000016,Brad Lager,Brad,,Lager,,,False,mo,,,,http://www.senate.mo.gov/15info/graphics/d12-photo.gif,2012-03-07 01:44:45.452000,2015-02-06 16:26:34.800000
MOL000017,John T. Lamping,John T.,,Lamping,,,False,mo,,,,http://www.senate.mo.gov/15info/graphics/D24-photo.gif,2012-03-07 01:44:45.464000,2015-01-14 16:06:13.339000
MOL000018,Jim Lembke,Jim,,Lembke,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d01-photo.gif,2012-03-07 01:44:45.472000,2013-01-07 16:28:43.602000
MOL000019,Robert Mayer,Robert,,Mayer,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d25-photo.gif,2012-03-07 01:44:45.490000,2013-01-07 16:28:43.873000
MOL000020,Ryan McKenna,Ryan,,McKenna,,,False,mo,,,,http://www.senate.mo.gov/13info/graphics/d22-photo.gif,2012-03-07 01:44:45.500000,2014-12-08 20:07:54.561000
MOL000022,Brian Nieves,Brian,,Nieves,,,False,mo,,,,http://www.senate.mo.gov/Flashshow/images/District26/Nieves-Photo.jpg,2012-03-07 01:44:45.524000,2015-01-15 16:15:09.365000
MOL000023,Mike Parson,Mike,,Parson,,,False,mo,,,,http://www.senate.mo.gov/15info/graphics/d28-photo.gif,2012-03-07 01:44:45.537000,2017-01-10 23:43:18.893000
MOL000024,David Pearce,David,,Pearce,,,False,mo,,,,http://www.senate.mo.gov/17web/wp-content/uploads/2015/11/301px-Seal_of_the_Senate_of_Missouri_svg-e1448041814274.png,2012-03-07 01:44:45.545000,2017-01-29 19:46:46.649000
MOL000025,Chuck Purgason,Chuck,,Purgason,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d33-photo.gif,2012-03-07 01:44:45.553000,2013-01-07 16:28:43.596000
MOL000027,Luann Ridgeway,Luann,,Ridgeway,,,False,mo,,,,http://www.senate.mo.gov/12info/graphics/d17-photo.gif,2012-03-07 01:44:45.569000,2013-01-07 16:28:43.599000
MOL000028,Scott Rupp,Scott,,Rupp,,,False,mo,,,,http://www.senate.mo.gov/13info/graphics/d02-photo.gif,2012-03-07 01:44:45.577000,2014-12-08 20:07:54.560000
MOL000030,Kurt Schaefer,Kurt,,Schaefer,,,False,mo,,,,http://www.senate.mo.gov/17web/wp-content/uploads/2015/11/301px-Seal_of_the_Senate_of_Missouri_svg-e1448041814274.png,2012-03-07 01:44:45.633000,2017-01-29 19:46:43.060000
