leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MSL000001,Sidney Albritton,Sidney,,Albritton,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/albritton.jpg,2010-12-10 00:05:11.485000,2012-01-05 00:05:51.837000
MSL000003,Cindy Hyde-Smith,Cindy,,Hyde-Smith,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/hyde-smith.jpg,2010-12-10 00:05:11.516000,2012-01-05 00:05:51.840000
MSL000004,T. O. Moffatt,T. O.,,Moffatt,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/moffatt.jpg,2010-12-10 00:05:11.518000,2012-01-05 00:05:51.824000
MSL000006,Bob M Dearing,Bob,M,Dearing,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/dearing.jpg,2010-12-10 00:05:11.541000,2012-01-05 00:05:51.815000
MSL000008,Haskins Montgomery,Haskins,,Montgomery,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/montgomery.jpg,2010-12-10 00:05:11.544000,2016-01-12 06:04:58.003000
MSL000010,Tommy Dickerson,Tommy,,Dickerson,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/dickerson.jpg,2010-12-10 00:05:11.548000,2012-01-05 00:05:51.817000
MSL000012,Alan Nunnelee,Alan,,Nunnelee,,,False,ms,,,,,2010-12-10 00:05:11.551000,2012-01-05 00:05:51.849000
MSL000013,Terry W Brown,Terry,W,Brown,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/brown.jpg,2010-12-10 00:05:11.553000,2015-07-08 20:23:11.155000
MSL000016,Eric Powell,Eric,,Powell,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/powell.jpg,2010-12-10 00:05:11.558000,2012-01-05 00:05:51.844000
MSL000018,Merle Flowers,Merle,,Flowers,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/flowers.jpg,2010-12-10 00:05:11.561000,2013-01-08 15:19:34.535000
MSL000019,Kenneth Wayne Jones,Kenneth,Wayne,Jones,,,False,ms,,,,http://billstatus.ls.state.ms.us/members/senate/jones.jpg,2010-12-10 00:05:11.563000,2016-01-12 06:04:57.999000
