leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NDL000001,Senator Stanley W. Lyson,Stanley W.,,Lyson,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/slyson.jpg?itok=us8o_LfP,2011-11-28 22:24:16.678000,2014-12-02 16:00:44.753000
NDL000002,Senator John Andrist,John,,Andrist,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/jandrist.jpg?itok=861jztMl,2011-11-28 22:24:16.689000,2014-12-02 16:00:44.754000
NDL000004,John M. Warner,John M.,,Warner,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/jwarner.jpg?itok=-Za5iLBC,2011-11-28 22:24:16.708000,2016-12-29 17:16:17.258000
NDL000006,David O'Connell,David,,O'Connell,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/doconnell.jpg?itok=9QpmXbO4,2011-11-28 22:24:16.728000,2016-12-29 17:16:17.255000
NDL000007,Ryan M. Taylor,Ryan,M.,Taylor,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/rtaylor.jpg,2011-11-28 22:24:16.738000,2013-01-07 16:42:29.063000
NDL000008,Layton Freborg,Layton,,Freborg,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/lfreborg.jpg,2011-11-28 22:24:16.748000,2013-01-07 16:42:29.112000
NDL000010,Curtis Olafson,Curtis,,Olafson,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/colafson.jpg,2011-11-28 22:24:16.768000,2013-01-07 16:42:29.117000
NDL000012,Dave Nething,Dave,,Nething,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/dnething.jpg,2011-11-28 22:24:16.788000,2013-01-07 16:42:29.108000
NDL000016,Joe Miller,Joe,,Miller,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/joetmiller.jpg?itok=cRDX0TmI,2011-11-28 22:24:16.827000,2016-12-29 17:16:17.257000
NDL000018,Connie Triplett,Connie,,Triplett,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/ctriplett.jpg?itok=y12O-07K,2011-11-28 22:24:16.859000,2016-12-29 17:16:17.253000
NDL000019,Gerald Uglem,Gerald,,Uglem,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/guglem.jpg,2011-11-28 22:24:16.868000,2013-01-07 16:42:29.087000
NDL000020,Elroy N. Lindaas,Elroy,N.,Lindaas,,,False,nd,,,,http://www.legis.nd.gov/images/61/senators/lindaas-elroy.jpg,2011-11-28 22:24:16.878000,2012-06-05 19:52:12.650000
NDL000021,Philip M. Murphy,Philip M.,,Murphy,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/pmmurphy.jpg?itok=JSPTtLiz,2011-11-28 22:24:16.888000,2016-12-29 17:16:17.262000
NDL000028,Senator Spencer Berry,Spencer,,Berry,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/berryspencer3.jpg?itok=v2kpOmOd,2011-11-28 22:24:16.959000,2014-12-02 16:00:44.755000
NDL000031,Ron Carlisle,Ron,,Carlisle,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/rcarlisle.jpg?itok=ALMMLZIO,2011-11-28 22:24:16.988000,2016-12-29 17:16:17.263000
NDL000032,Bob Stenehjem,Bob,,Stenehjem,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/bstenehjem.jpg,2011-11-28 22:24:16.998000,2012-06-05 19:52:53.366000
NDL000035,Randel Christmann,Randel,,Christmann,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/rchristmann.jpg,2011-11-28 22:24:17.027000,2013-01-07 16:42:29.097000
NDL000037,Senator Margaret Sitte,Margaret,,Sitte,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/msitte.jpg?itok=6kMKEWyT,2011-11-28 22:24:17.047000,2014-12-02 16:00:44.757000
NDL000038,George L. Nodland,George,L.,Nodland,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/glnodland.jpg,2011-11-28 22:24:17.057000,2013-01-07 16:42:29.091000
NDL000043,Senator Tony Grindberg,Tony,,Grindberg,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/tgrindberg_1.jpg?itok=0kecxf0J,2011-11-28 22:24:17.119000,2014-12-02 16:00:44.758000
NDL000044,Mac Schneider,Mac,,Schneider,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/macschneider.jpg?itok=RgVGh2Rc,2011-11-28 22:24:17.128000,2016-12-29 17:16:17.260000
NDL000046,Tim Flakoll,Tim,,Flakoll,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/tflakoll.jpg?itok=vf2GqkRt,2011-11-28 22:24:17.148000,2016-12-29 17:16:17.264000
NDL000048,Tom Fischer,Tom,,Fischer,,,False,nd,,,,http://www.legis.nd.gov/images/62/senators/tfischer.jpg,2011-11-28 22:24:17.170000,2012-06-05 19:53:41.884000
NDL000050,Patrick R. Hatlestad,Patrick R.,,Hatlestad,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/phatlestad.jpg?itok=vlun2ydv,2011-11-28 22:24:17.189000,2016-12-29 17:16:17.245000
NDL000053,Robert J. Skarphol,Robert J.,,Skarphol,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/bskarphol.jpg?itok=TossCYx2,2011-11-28 22:24:17.218000,2016-12-29 17:16:17.249000
NDL000056,Tom Conklin,Tom,,Conklin,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/tconklin.jpg,2011-11-28 22:24:17.247000,2013-01-07 16:42:28.955000
NDL000057,Kenton Onstad,Kenton,,Onstad,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/konstad.jpg?itok=oHG9QH81,2011-11-28 22:24:17.257000,2016-12-29 17:16:17.236000
NDL000060,Glen Froseth,Glen,,Froseth,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/gfroseth.jpg?itok=3SQshd3b,2011-11-28 22:24:17.286000,2016-12-29 17:16:17.231000
NDL000061,Bob Hunskor,Bob,,Hunskor,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/bhunskor.jpg?itok=QuXx2Hdr,2011-11-28 22:24:17.306000,2016-12-29 17:16:17.222000
NDL000065,Dwight Wrangham,Dwight,,Wrangham,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/dwrangham.jpg,2011-11-28 22:24:17.345000,2013-01-07 16:42:29.032000
NDL000071,Representative Scot Kelsh,Scot,,Kelsh,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/skelsh.jpg?itok=WhbPqMIe,2011-11-28 22:24:17.404000,2014-12-02 16:00:44.732000
NDL000072,Lyle Hanson,Lyle,,Hanson,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/lhanson.jpg,2011-11-28 22:24:17.414000,2013-01-07 16:42:29.040000
NDL000073,Joe Kroeber,Joe,,Kroeber,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/jkroeber.jpg,2011-11-28 22:24:17.423000,2013-01-07 16:42:29.009000
NDL000075,Representative Alon Wieland,Alon,,Wieland,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/awieland.jpg?itok=PEhDqpsB,2011-11-28 22:24:17.443000,2014-12-02 16:00:44.733000
NDL000076,Duane DeKrey,Duane,,DeKrey,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/ddekrey.jpg,2011-11-28 22:24:17.453000,2013-01-07 16:42:29.023000
NDL000078,Curt Hofstad,Curt,,Hofstad,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/chofstad.jpg?itok=U4oM01Ip,2011-11-28 22:24:17.472000,2016-12-29 17:16:17.224000
NDL000080,Robert Kilichowski,Robert,,Kilichowski,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/rkilichowski.jpg,2011-11-28 22:24:17.496000,2013-01-07 16:42:29.020000
NDL000081,Joyce Kingsbury,Joyce,,Kingsbury,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/jkingsbury.jpg,2011-11-28 22:24:17.506000,2013-01-07 16:42:28.966000
NDL000084,Eliot Glassheim,Eliot,,Glassheim,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/eglassheim.jpg?itok=l9ZLoBOs,2011-11-28 22:24:17.535000,2016-12-29 17:16:17.228000
NDL000085,Lonny B. Winrich,Lonny,B.,Winrich,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/lbwinrich.jpg,2011-11-28 22:24:17.545000,2013-01-07 16:42:28.963000
NDL000087,Wayne Trottier,Wayne,,Trottier,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/wtrottier.jpg?itok=fG3s3if0,2011-11-28 22:24:17.564000,2016-12-29 17:16:17.250000
NDL000089,Lee Kaldor,Lee,,Kaldor,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/lakaldor.jpg,2011-11-28 22:24:17.583000,2013-01-07 16:42:29.035000
NDL000091,Representative Steven L. Zaiser,Steven L.,,Zaiser,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/szaiser.jpg?itok=UEW3wqq3,2011-11-28 22:24:17.603000,2014-12-02 16:00:44.738000
NDL000092,Wesley R. Belter,Wesley R.,,Belter,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/wbelter.jpg?itok=V1hRIT3k,2011-11-28 22:24:17.613000,2016-12-29 17:16:17.251000
NDL000093,Vonnie Pietsch,Vonnie,,Pietsch,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/vpietsch.jpg,2011-11-28 22:24:17.622000,2013-01-07 16:42:29.022000
NDL000096,Ralph Metcalf,Ralph,,Metcalf,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/rmetcalf.jpg,2011-11-28 22:24:17.651000,2013-01-07 16:42:29.004000
NDL000097,Phillip Mueller,Phillip,,Mueller,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/pmueller.jpg,2011-11-28 22:24:17.661000,2013-01-07 16:42:29.039000
NDL000098,Representative John Wall,John,,Wall,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/jwall.jpg?itok=q9AC2dix,2011-11-28 22:24:17.670000,2014-12-02 16:00:44.739000
NDL000099,Representative Clark Williams,Clark,,Williams,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/cdwilliams.jpg?itok=MG2vjNvF,2011-11-28 22:24:17.680000,2014-12-02 16:00:44.740000
NDL000100,Bill Amerman,Bill,,Amerman,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/bamerman.jpg?itok=qubULY8e,2011-11-28 22:24:17.690000,2016-12-29 17:16:17.220000
NDL000101,Jerry Kelsh,Jerry,,Kelsh,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/jkelsh.jpg?itok=udFz5OwF,2011-11-28 22:24:17.700000,2016-12-29 17:16:17.232000
NDL000105,William E. Kretschmar,William E.,,Kretschmar,,,False,nd,,,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/wkretschmar.jpg?itok=irCIj6dR,2011-11-28 22:24:17.738000,2016-12-29 17:16:17.252000
NDL000109,Dave Weiler,Dave,,Weiler,,,False,nd,,,,http://www.legis.nd.gov/images/62/representatives/dweiler.jpg,2011-11-28 22:24:17.777000,2013-01-07 16:42:28.977000
