leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NEL000001,Lavon Heidemann,Lavon,,Heidemann,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist01.jpg,2011-09-22 17:37:48.884000,2013-01-09 17:17:26.183000
NEL000002,Dave Pankonin,Dave,,Pankonin,,,False,ne,,,,,2011-09-22 17:37:48.894000,2012-02-22 21:11:56.382000
NEL000003,Scott Price,Scott,,Price,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist03.jpg,2011-09-22 17:37:48.904000,2014-12-09 00:47:24.457000
NEL000004,Pete Pirsch,Pete,,Pirsch,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist04.jpg,2011-09-22 17:37:48.914000,2015-01-07 19:15:43.878000
NEL000005,Heath Mello,Heath,,Mello,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist05.jpg,2011-09-22 17:37:48.924000,2017-01-06 07:03:13.954000
NEL000006,John Nelson,John,,Nelson,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist06.jpg,2011-09-22 17:37:48.935000,2015-01-07 19:15:43.885000
NEL000007,Jeremy Nordquist,Jeremy,,Nordquist,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist07.jpg,2011-09-22 17:37:48.946000,2016-05-12 05:08:44.580000
NEL000009,Gwen Howard,Gwen,,Howard,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist09.jpg,2011-09-22 17:37:48.966000,2013-01-09 17:17:26.184000
NEL000011,Brenda Council,Brenda,,Council,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist11.jpg,2011-09-22 17:37:48.999000,2013-01-09 17:17:26.185000
NEL000012,Steve Lathrop,Steve,,Lathrop,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist12.jpg,2011-09-22 17:37:49.009000,2015-01-07 19:15:43.858000
NEL000013,Tanya Cook,Tanya,,Cook,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist13.jpg,2011-09-22 17:37:49.020000,2017-01-06 07:03:13.966000
NEL000015,Charlie Janssen,Charlie,,Janssen,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist15.jpg,2011-09-22 17:37:49.039000,2015-01-07 19:15:43.860000
NEL000017,Dave Bloomfield,Dave,,Bloomfield,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist17.jpg,2011-09-22 17:37:49.124000,2017-01-06 07:03:13.949000
NEL000018,Scott Lautenbaugh,Scott,,Lautenbaugh,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist18.jpg,2011-09-22 17:37:49.134000,2015-01-07 19:15:43.863000
NEL000019,Mike Flood,Mike,,Flood,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist19.jpg,2011-09-22 17:37:49.145000,2013-01-10 20:31:02.730000
NEL000020,Brad Ashford,Brad,,Ashford,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist20.jpg,2011-09-22 17:37:49.155000,2015-01-07 19:15:43.865000
NEL000021,Ken Haar,Ken,,Haar,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist21.jpg,2011-09-22 17:37:49.183000,2017-01-06 07:03:13.959000
NEL000023,Chris Langemeier,Chris,,Langemeier,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist23.jpg,2011-09-22 17:37:49.203000,2013-01-09 17:17:26.187000
NEL000024,Greg Adams,Greg,,Adams,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist24.jpg,2011-09-22 17:37:49.214000,2015-01-07 19:15:43.866000
NEL000025,Kathy Campbell,Kathy,,Campbell,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist25.jpg,2011-09-22 17:37:49.224000,2017-01-06 07:03:13.958000
NEL000026,Amanda McGill,Amanda,,McGill,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist26.jpg,2011-09-22 17:37:49.238000,2015-01-07 19:15:43.868000
NEL000027,Colby Coash,Colby,,Coash,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist27.jpg,2011-09-22 17:37:49.248000,2017-01-06 07:03:13.948000
NEL000028,Bill Avery,Bill,,Avery,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist28.jpg,2011-09-22 17:37:49.258000,2015-01-07 19:15:43.869000
NEL000029,Tony Fulton,Tony,,Fulton,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist29.jpg,2011-09-22 17:37:49.268000,2013-01-09 17:17:26.188000
NEL000030,Norman Wallman,Norman,,Wallman,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist30.jpg,2011-09-22 17:37:49.285000,2015-01-07 19:15:43.870000
NEL000031,Rich Pahls,Rich,,Pahls,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist31.jpg,2011-09-22 17:37:49.295000,2013-01-09 17:17:26.189000
NEL000032,Russ Karpisek,Russ,,Karpisek,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist32.jpg,2011-09-22 17:37:49.305000,2015-01-07 19:15:43.872000
NEL000033,Dennis Utter,Dennis,,Utter,,,False,ne,,,,,2011-09-22 17:37:49.315000,2012-02-22 21:12:37.897000
NEL000034,Annette Dubas,Annette,,Dubas,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist34.jpg,2011-09-22 17:37:49.325000,2015-01-07 19:15:43.873000
NEL000035,Mike Gloor,Mike,,Gloor,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist35.jpg,2011-09-22 17:37:49.336000,2017-01-06 07:03:13.963000
NEL000036,John Wightman,John,,Wightman,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist36.jpg,2011-09-22 17:37:49.348000,2015-01-07 19:15:43.875000
NEL000037,Galen Hadley,Galen,,Hadley,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist37.jpg,2011-09-22 17:37:49.357000,2017-01-06 07:03:13.952000
NEL000038,Tom Carlson,Tom,,Carlson,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist38.jpg,2011-09-22 17:37:49.367000,2015-01-07 19:15:43.876000
NEL000039,Beau McCoy,Beau,,McCoy,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist39.jpg,2011-09-22 17:37:49.377000,2017-01-06 07:03:13.947000
NEL000041,Kate Sullivan,Kate,,Sullivan,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist41.jpg,2011-09-22 17:37:49.397000,2017-01-06 07:03:13.957000
NEL000042,Thomas Hansen,Thomas,,Hansen,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist42.jpg,2011-09-22 17:37:49.406000,2015-01-07 19:15:43.879000
NEL000043,Deb Fischer,Deb,,Fischer,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist43.jpg,2011-09-22 17:37:49.416000,2013-01-09 17:17:26.190000
NEL000044,Mark Christensen,Mark,,Christensen,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist44.jpg,2011-09-22 17:37:49.426000,2015-01-07 19:15:43.880000
NEL000045,Abbie Cornett,Abbie,,Cornett,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist45.jpg,2011-09-22 17:37:49.436000,2013-01-09 17:17:26.192000
NEL000046,Danielle Conrad,Danielle,,Conrad,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist46.jpg,2011-09-22 17:37:49.447000,2015-01-07 19:15:43.882000
NEL000047,Ken Schilz,Ken,,Schilz,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist47.jpg,2011-09-22 17:37:49.523000,2017-01-06 07:03:13.960000
NEL000048,John Harms,John,,Harms,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist42.jpg,2011-09-22 17:37:49.534000,2015-01-07 19:15:43.883000
NEL000049,LeRoy Louden,LeRoy,,Louden,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist49.jpg,2011-09-22 17:37:49.544000,2013-01-09 17:17:26.193000
NEL000052,R. Paul Lambert,R. Paul,,Lambert,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist02.jpg,2011-11-15 00:44:15.813000,2013-01-09 17:17:26.194000
NEL000053,Les Seiler,Les,,Seiler,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist33.jpg,2012-02-06 16:28:53.778000,2017-01-06 07:03:13.962000
NEL000055,Bill Kintner,Bill,,Kintner,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist02.jpg,2013-01-09 17:17:25.835000,2017-02-23 03:09:00.692000
NEL000059,Jerry Johnson,Jerry,,Johnson,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist23.jpg,2013-01-09 17:17:25.946000,2017-01-06 07:03:13.955000
NEL000062,Al Davis,Al,,Davis,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist43.jpg,2013-01-09 17:17:26.082000,2017-01-06 07:03:13.945000
NEL000066,Tommy Garrett,Tommy,,Garrett,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist03.jpg,2013-12-13 16:21:27.664000,2017-01-06 07:03:13.967000
NEL000069,David Schnoor,David,,Schnoor,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist15.jpg,2015-01-07 19:15:43.525000,2017-01-06 07:03:13.951000
NEL000087,Nicole Fox,Nicole,,Fox,,,False,ne,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist 7.jpg,2015-08-19 05:20:41.128000,2017-01-06 07:03:13.965000
NEL000106,Dan Hughes,Dan,,Hughes,,,True,ne,,,Nonpartisan,http://www.nebraskalegislature.gov/media/images/blogs/dist44.jpg,2017-05-08 07:15:22.105000,2017-06-01 07:17:44.902000
