leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NHL000001,"John S Barnes, Jr.",John,S,"Barnes, Jr.",,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/17.jpg,2011-06-21 18:49:56.640000,2013-01-04 00:08:31.988000
NHL000002,David R Boutin,David,R,Boutin,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/16.jpg,2011-06-21 18:49:56.642000,2017-01-10 05:01:21.547000
NHL000003,Jeb Bradley,Jeb,,Bradley,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/03.jpg,2011-06-21 18:49:56.644000,2017-01-10 05:01:21.553000
NHL000004,Peter Bragdon,Peter,,Bragdon,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/11.jpg,2011-06-21 18:49:56.647000,2015-01-06 18:49:41.622000
NHL000005,Sharon M Carson,Sharon,M,Carson,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/14.jpg,2011-06-21 18:49:56.649000,2017-01-10 05:01:21.563000
NHL000006,Lou D'Allesandro,Lou,,D'Allesandro,,,False,nh,,,,http://www.votesmart.org/canphoto/14808.jpg,2011-06-21 18:49:56.651000,2017-01-10 05:01:21.556000
NHL000007,Tom H De Blois,Tom,H,De Blois,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/18.jpg,2011-06-21 18:49:56.653000,2013-01-04 00:08:31.989000
NHL000008,Jeanie L Forrester,Jeanie,L,Forrester,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/02.jpg,2011-06-21 18:49:56.675000,2017-01-10 05:01:21.552000
NHL000009,James R Forsythe,James,R,Forsythe,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/04.jpg,2011-06-21 18:49:56.677000,2013-01-04 00:08:31.990000
NHL000010,John T Gallus,John,T,Gallus,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/01.jpg,2011-06-21 18:49:56.680000,2013-01-04 00:08:31.991000
NHL000011,Fenton L Groen,Fenton,L,Groen,,,False,nh,,,,http://www.gencourt.state.nh.us/Senate/images/senators/06.jpg,2011-06-21 18:49:56.682000,2013-01-04 00:08:31.993000
