leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NML000007,Clinton D. Harden,Clinton,D.,Harden,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SHARD.jpg,2011-08-05 16:10:18.392000,2012-12-17 19:20:06.812000
NML000010,John C. Ryan,John,C.,Ryan,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SRYAN.jpg,2011-08-05 16:10:18.401000,2017-01-23 01:38:49.439000
NML000013,Dede Feldman,Dede,,Feldman,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SFELD.jpg,2011-08-05 16:10:18.420000,2013-01-15 15:51:48.566000
NML000014,Eric G. Griego,Eric,G.,Griego,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SGRIR.jpg,2011-08-05 16:10:18.423000,2013-01-15 15:51:48.567000
NML000015,Tim Eichenberg,Tim,,Eichenberg,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SEICH.jpg,2011-08-05 16:10:18.425000,2013-01-15 15:51:48.568000
NML000017,Timothy M. Keller,Timothy,M.,Keller,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SKELL.jpg,2011-08-05 16:10:18.431000,2015-02-02 20:55:44.180000
NML000018,Mark Boitano,Mark L.,,Boitano,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SBOIT.jpg,2011-08-05 16:10:18.434000,2013-01-15 15:51:48.569000
NML000019,Sue Wilson Beffort,Sue,Wilson,Beffort,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SBEFF.jpg,2011-08-05 16:10:18.437000,2017-01-23 01:38:49.446000
NML000021,Kent L. Cravens,Kent,L.,Cravens,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SCRAV.jpg,2011-08-05 16:10:18.452000,2012-06-05 19:35:43.883000
NML000022,Lynda M. Lovejoy,Lynda,M.,Lovejoy,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SLOVE.jpg,2011-08-05 16:10:18.455000,2013-01-15 15:51:48.580000
NML000026,Bernadette M. Sanchez,Bernadette,M.,Sanchez,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SSANB.jpg,2011-08-05 16:10:18.468000,2013-01-15 15:51:48.570000
NML000029,Michael S. Sanchez,Michael,S.,Sanchez,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SSANC.jpg,2011-08-05 16:10:18.477000,2017-01-23 01:38:49.443000
NML000030,David Ulibarri,David,,Ulibarri,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SULIB.jpg,2011-08-05 16:10:18.490000,2013-01-15 15:51:48.572000
NML000031,Cynthia Nava,Cynthia,,Nava,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SNAVA.jpg,2011-08-05 16:10:18.493000,2013-01-15 15:51:48.573000
NML000032,Timothy Z. Jennings,Timothy,Z.,Jennings,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SJENT.jpg,2011-08-05 16:10:18.496000,2013-01-15 15:51:48.574000
NML000033,Rod Adair,Rod,,Adair,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SADAI.jpg,2011-08-05 16:10:18.500000,2013-01-15 15:51:48.575000
NML000034,Vernon D. Asbill,Vernon,D.,Asbill,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SASBI.jpg,2011-08-05 16:10:18.503000,2013-01-15 15:51:48.577000
NML000036,Mary Jane M. Garcia,Mary Jane,M.,Garcia,,,False,nm,,,,http://www.nmlegis.gov/lcs/graphics/photos/SGARC.jpg,2011-08-05 16:10:18.509000,2013-01-15 15:51:48.578000
