leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NVL000001,Mark E Amodei,Mark,E,Amodei,,,False,nv,,,,http://www.leg.state.nv.us/73rd/Legislators/senators/Images/Amodei.jpg,2010-09-01 16:27:46.961000,2011-01-10 23:44:48.987000
NVL000002,Shirley A Breeden,Shirley,A,Breeden,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Breeden.jpg,2010-09-01 16:27:46.963000,2013-01-09 22:29:27.948000
NVL000003,Terry Care,Terry,,Care,,,False,nv,,,,http://www.leg.state.nv.us/73rd/Legislators/senators/Images/Care.jpg,2010-09-01 16:27:46.965000,2011-01-10 23:44:48.989000
NVL000005,Barbara K Cegavske,Barbara K.,K,Cegavske,,,False,nv,,,,http://leg.state.nv.us/Session/77th2013/legislators/Senators/Images/Cegavske.jpg,2010-09-01 16:27:46.968000,2015-01-22 21:46:44.869000
NVL000006,Bob Coffin,Bob,,Coffin,,,False,nv,,,,http://www.leg.state.nv.us/73rd/legislators/Senators/Images/Coffin.jpg,2010-09-01 16:27:46.970000,2011-01-10 23:44:48.987000
NVL000007,Allison Copening,Allison,,Copening,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Copening.jpg,2010-09-01 16:27:46.971000,2013-01-09 22:29:27.950000
NVL000008,Warren B Hardy II,Warren,B,Hardy II,,,False,nv,,,,http://www.leg.state.nv.us/73rd/legislators/senators/Images/Hardy.jpg,2010-09-01 16:27:46.973000,2011-01-10 23:44:48.987000
NVL000009,Steven A Horsford,Steven,A,Horsford,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Horsford.jpg,2010-09-01 16:27:46.974000,2013-01-09 22:29:27.951000
NVL000010,John J Lee,John,J,Lee,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Lee.jpg,2010-09-01 16:27:46.976000,2013-01-09 22:29:27.952000
NVL000011,Bernice Mathews,Bernice,,Mathews,,,False,nv,,,,http://www.leg.state.nv.us/73rd/legislators/Senators/Images/Mathews.jpg,2010-09-01 16:27:46.990000,2011-01-10 23:44:48.989000
NVL000012,Mike McGinness,Mike,,McGinness,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/McGinness.jpg,2010-09-01 16:27:46.991000,2013-01-09 22:29:27.953000
NVL000013,Dennis Nolan,Dennis,,Nolan,,,False,nv,,,,http://www.leg.state.nv.us/73rd/legislators/senators/Images/Nolan.jpg,2010-09-01 16:27:46.993000,2011-01-10 23:44:48.989000
NVL000015,William J Raggio,William,J,Raggio,,,False,nv,,,,http://www.leg.state.nv.us/71st/legislators/Senators/Raggio_files/image002.jpg,2010-09-01 16:27:47.007000,2012-06-05 17:19:57.054000
NVL000016,Dean A Rhoads,Dean,A,Rhoads,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Rhoads.jpg,2010-09-01 16:27:47.008000,2013-01-09 22:29:27.955000
NVL000017,Michael A Schneider,Michael,A,Schneider,,,False,nv,,,,http://www.leg.state.nv.us/Senate/Current/Senators/Images/Schneider.jpg,2010-09-01 16:27:47.010000,2013-01-09 22:29:27.957000
NVL000018,Randolph Townsend,Randolph,,Townsend,,,False,nv,,,,http://www.leg.state.nv.us/73rd/legislators/senators/Images/Townsend.jpg,2010-09-01 16:27:47.012000,2011-01-10 23:44:48.990000
