leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
NYL000001,Eric Adams,Eric,,Adams,,,False,ny,,,,http://www.nysenate.gov/files/profile-pictures/%2802-04-09%29%20Adams-HS-059NEW%20HEADSHOT_1.JPG,2011-05-05 01:29:13.486000,2014-01-09 15:43:44.906000
NYL000003,James S Alesi,James,S,Alesi,,,False,ny,,,,http://www.nysenate.gov/files/imagecache/senator_teaser/profile-pictures/%2803-25-11%29%20Alesi-HS-032.jpg,2011-05-05 01:29:13.490000,2014-12-09 17:55:58.342000
NYL000005,Greg Ball,Greg,,Ball,,,False,ny,,,,http://www.nysenate.gov/files/profile-pictures/ball_HS2.jpg,2011-05-05 01:29:13.494000,2015-01-06 23:58:21.094000
NYL000012,Thomas Duane,Thomas,,Duane,,,False,ny,,,,http://www.nysenate.gov/files/imagecache/senator_teaser/profile-pictures/DuaneHeadshot07ColorBIO.jpg,2011-05-05 01:29:13.629000,2014-12-09 17:55:58.343000
NYL000013,Adriano Espaillat,Adriano,,Espaillat,,,False,ny,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2801-25-11%29%20Espaillat-HS-007.jpg?itok=hQ-sGW7c,2011-05-05 01:29:13.644000,2017-06-01 05:09:02.080000
NYL000014,Hugh T Farley,Hugh,T,Farley,,,False,ny,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/photo_-_headshot_-low-res.jpg?itok=tWDuLNzI,2011-05-05 01:29:13.646000,2017-06-01 05:09:02.083000
NYL000016,Charles J Fuschillo Jr.,Charles,J,Fuschillo,Jr.,,False,ny,,,,http://www.nysenate.gov/files/profile-pictures/Senator_Fuschillo%27s_Headshot-2011_retouch%5B1%5D.jpg,2011-05-05 01:29:13.650000,2014-01-09 15:42:51.882000
NYL000021,Mark Grisanti,Mark,,Grisanti,,,False,ny,,,,http://www.nysenate.gov/files/profile-pictures/Grisanti.jpg,2011-05-05 01:29:13.659000,2015-01-06 23:58:21.105000
NYL000023,Ruth Hassell-Thompson,Ruth,,Hassell-Thompson,,,False,ny,,,,https://www.nysenate.gov/sites/default/files/styles/160x160/public/%2803-18-09%29%20Hassell-Thompson%20HS-020.jpg?itok=U8tjKMcq,2011-05-05 01:29:13.662000,2017-01-02 09:51:44.568000
NYL000024,Shirley L Huntley,Shirley,L,Huntley,,,False,ny,,,,http://www.nysenate.gov/files/imagecache/senator_teaser/profile-pictures/%2803-03-09%29%20Huntley-HS-015_2.jpg,2011-05-05 01:29:13.664000,2014-12-09 17:55:58.344000
