leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
OKL000001,Tom Adelson,Tom,,Adelson,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/adelson_bio.jpg,2011-07-08 20:39:11.614000,2013-01-09 20:44:14.990000
OKL000002,Cliff Aldridge,Cliff,,Aldridge,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/aldridge_bio.jpg,2011-07-08 20:39:11.616000,2015-01-12 16:02:57.368000
OKL000004,Patrick Anderson,Patrick,,Anderson,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/anderson_bio.jpg,2011-07-08 20:39:11.620000,2016-12-30 00:47:08.602000
OKL000005,Roger Ballenger,Roger,,Ballenger,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/ballenger_bio.jpg,2011-07-08 20:39:11.621000,2015-01-12 16:02:57.377000
OKL000006,Don Barrington,Don,,Barrington,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/barrington_bio.jpg,2011-07-08 20:39:11.623000,2016-12-30 00:47:08.596000
OKL000008,Brian Bingman,Brian,,Bingman,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/bingman_bio.jpg,2011-07-08 20:39:11.652000,2016-12-30 00:47:08.590000
OKL000009,Cliff Branan,Cliff,,Branan,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/branan_bio.jpg,2011-07-08 20:39:11.654000,2015-01-12 16:02:57.366000
OKL000011,Rick Brinkley,Rick,,Brinkley,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/Brinkley.jpg,2011-07-08 20:39:11.668000,2016-02-05 02:18:23.198000
OKL000013,Sean Burrage,Sean,,Burrage,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/burrage_bio.jpg,2011-07-08 20:39:11.709000,2015-01-12 16:02:57.358000
OKL000014,Harry Coates,Harry,,Coates,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/coates_bio.jpg,2011-07-08 20:39:11.711000,2015-01-12 16:02:57.364000
OKL000015,Brian Crain,Brian,,Crain,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/crain_bio.jpg,2011-07-08 20:39:11.714000,2016-12-30 00:47:08.591000
OKL000017,Judy Eason Mcintyre,Judy,,Eason Mcintyre,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/eason_mcintyre_bio.jpg,2011-07-08 20:39:11.717000,2013-01-09 20:44:14.987000
OKL000018,Jerry Ellis,Jerry,,Ellis,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/ellis_bio.jpg,2011-07-08 20:39:11.727000,2015-01-12 16:02:57.375000
OKL000020,John Ford,John,,Ford,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/ford_bio.jpg,2011-07-08 20:39:11.750000,2016-12-30 00:47:08.600000
OKL000021,Earl Garrison,Earl,,Garrison,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/garrison_bio.jpg,2011-07-08 20:39:11.752000,2016-12-30 00:47:08.597000
OKL000022,Jim Halligan,Jim,,Halligan,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/halligan_bio.jpg,2011-07-08 20:39:11.770000,2016-12-30 00:47:08.599000
OKL000024,Tom Ivester,Tom,,Ivester,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/ivester_bio.jpg,2011-07-08 20:39:11.774000,2015-01-12 16:02:57.362000
OKL000025,Constance Johnson,Constance N.,,Johnson,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/johnsonc_bio.jpg,2011-07-08 20:39:11.776000,2015-01-12 16:02:57.373000
OKL000026,Rob Johnson,Rob,,Johnson,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/Johnsonr.jpg,2011-07-08 20:39:11.778000,2015-01-12 16:02:57.360000
OKL000027,Clark Jolley,Clark,,Jolley,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/jolley_bio.jpg,2011-07-08 20:39:11.779000,2016-12-30 00:47:08.594000
OKL000028,Ron Justice,Ron,,Justice,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/justice_bio.jpg,2011-07-08 20:39:11.781000,2016-12-30 00:47:08.604000
OKL000029,Charlie Laster,Charlie,,Laster,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/laster_bio.jpg,2011-07-08 20:39:11.783000,2013-01-09 20:44:14.986000
OKL000030,Richard Lerblance,Richard,,Lerblance,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/lerblance_bio.jpg,2011-07-08 20:39:11.789000,2013-01-09 20:44:14.985000
OKL000032,Mike Mazzei,Mike,,Mazzei,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/mazzei_bio.jpg,2011-07-08 20:39:11.801000,2016-12-30 00:47:08.601000
OKL000033,David Myers,David,,Myers,,,False,ok,,,,http://www.oksenate.gov/Senators/biographies/myers_bio.jpg,2011-07-08 20:39:11.802000,2012-07-12 16:39:20.543000
