leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
ORL000001,Jason Atkinson,Jason,,Atkinson,,,False,or,,,,http://www.leg.state.or.us/atkinson/member_photo.jpg,2011-06-13 14:45:49.471000,2013-01-15 16:11:15.497000
ORL000002,Alan C Bates,Alan,,Bates,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/bates.jpg,2011-06-13 14:45:49.474000,2017-01-10 09:26:27.276000
ORL000004,Suzanne Bonamici,Suzanne,,Bonamici,,,False,or,,,,http://www.leg.state.or.us/bonamici/member_photo.jpg,2011-06-13 14:45:49.480000,2012-07-11 15:44:59.776000
ORL000009,Jackie Dingfelder,Jackie,,Dingfelder,,,False,or,,,,http://www.leg.state.or.us/dingfelder/member_photo.jpg,2011-06-13 14:45:49.493000,2014-01-17 19:34:50.752000
ORL000010,Chris Edwards,Chris,,Edwards,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/edwards.jpg,2011-06-13 14:45:49.496000,2017-01-10 09:26:27.279000
ORL000012,Larry George,Larry,,George,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/george.jpg,2011-06-13 14:45:49.500000,2015-01-31 00:00:01.604000
ORL000019,Frank Morse,Frank,,Morse,,,False,or,,,,http://www.leg.state.or.us/morse/member_photo.jpg,2011-06-13 14:45:49.540000,2012-12-17 19:47:16.561000
ORL000020,David Nelson,David,,Nelson,,,False,or,,,,http://www.leg.state.or.us/nelson_david/member_photo.jpg,2011-06-13 14:45:49.543000,2013-01-15 16:11:15.498000
ORL000023,Diane Rosenbaum,Diane,,Rosenbaum,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/rosenbaum.jpg,2011-06-13 14:45:49.564000,2017-01-10 09:26:27.280000
ORL000024,Chip Shields,Chip,,Shields,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/shields.jpg,2011-06-13 14:45:49.567000,2017-01-10 09:26:27.278000
ORL000025,Bruce Starr,Bruce,,Starr,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/starr.jpg,2011-06-13 14:45:49.570000,2015-01-31 00:00:01.605000
ORL000026,Chris Telfer,Chris,,Telfer,,,False,or,,,,http://www.leg.state.or.us/telfer/member_photo.jpg,2011-06-13 14:45:49.572000,2013-01-15 16:11:15.499000
ORL000028,Joanne Verger,Joanne,,Verger,,,False,or,,,,http://www.leg.state.or.us/verger/member_photo.jpg,2011-06-13 14:45:49.578000,2013-01-15 16:11:15.500000
ORL000029,Doug Whitsett,Doug,,Whitsett,,,False,or,,,,http://www.oregonlegislature.gov/senate/MemberPhotos/whitsett.jpg,2011-06-13 14:45:49.603000,2017-01-10 09:26:27.282000
