leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
PRL000001,Thomas Rivera Schatz,Thomas,,Rivera Schatz,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_trivera.jpg,2011-07-22 23:11:40.353000,2017-01-10 04:09:01.117000
PRL000002,Margarita Nolasco Santiago,Margarita,,Nolasco Santiago,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_mnolasco.jpg,2011-07-22 23:11:40.370000,2017-01-10 04:09:01.105000
PRL000003,Itzamar Peña Ramirez,Itzamar,,Peña Ramirez,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_ipena.jpg,2011-07-22 23:11:40.373000,2017-01-10 04:09:01.096000
PRL000004,Luz Z. Arce Ferrer,Luz,Z.,Arce Ferrer,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_larce.jpg,2011-07-22 23:11:40.381000,2013-01-29 00:52:15.991000
PRL000005,Melinda K. Romero Donnelly,Melinda,K.,Romero Donnelly,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_mromero.jpg,2011-07-22 23:11:40.384000,2013-01-29 00:52:15.976000
PRL000006,Norma E. Burgos Andujar,Norma,E.,Burgos Andujar,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_nburgos.jpg,2011-07-22 23:11:40.386000,2013-01-29 00:52:15.986000
PRL000007,Jose L. Dalmau Santiago,Jose,L.,Dalmau Santiago,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_jdalmau.jpg,2011-07-22 23:11:40.388000,2017-01-10 04:09:01.099000
PRL000008,Eduardo Bhatia Gautier,Eduardo,,Bhatia Gautier,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_ebhatia.jpg,2011-07-22 23:11:40.412000,2017-01-10 04:09:01.093000
PRL000009,Antonio J. Fas Alzamora,Antonio,J.,Fas Alzamora,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_afas.jpg,2011-07-22 23:11:40.414000,2017-01-10 04:09:01.089000
PRL000010,Alejandro Garcia Padilla,Alejandro,,Garcia Padilla,,,False,pr,,,,/Fotos%20Senadores/sen_apadilla_S.jpg,2011-07-22 23:11:40.416000,2013-01-29 00:52:15.975000
PRL000011,Cirilo Tirado Rivera,Cirilo,,Tirado Rivera,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_ctirado.jpg,2011-07-22 23:11:40.419000,2017-01-10 04:09:01.092000
PRL000012,Eder E. Ortiz Ortiz,Eder,E.,Ortiz Ortiz,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_eortiz.jpg,2011-07-22 23:11:40.421000,2013-01-07 03:51:49.945000
PRL000013,Jorge I. Suarez Caceres,Jorge,I.,Suarez Caceres,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_jsuarez.jpg,2011-07-22 23:11:40.423000,2017-01-10 04:09:01.098000
PRL000014,Juan E. Hernandez Mayoral,Juan,E.,Hernandez Mayoral,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_jhernandez.jpg,2011-07-22 23:11:40.434000,2013-01-29 00:52:15.981000
PRL000015,Sila M. Gonzalez Calderon,Sila,M.,Gonzalez Calderon,,,False,pr,,,,/Fotos%20Senadores/sen_sgonzales_S.jpg,2011-07-22 23:11:40.446000,2013-01-29 00:52:15.982000
PRL000016,Roberto A. Arango Vinent,Roberto,A.,Arango Vinent,,,False,pr,,,,/Fotos%20Senadores/sen_rarango_S.jpg,2011-07-22 23:11:40.456000,2012-06-14 19:16:41.702000
PRL000017,Kimmey Raschke Martinez,Kimmey,,Raschke Martinez,,,False,pr,,,,/Fotos%20Senadores/sen_krashke_S.jpg,2011-07-22 23:11:40.458000,2013-01-29 00:52:15.990000
PRL000018,Migdalia Padilla Alvelo,Migdalia,,Padilla Alvelo,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_mpadilla.jpg,2011-07-22 23:11:40.460000,2017-01-10 04:09:01.109000
PRL000019,Carmelo J. Rios Santiago,Carmelo,J.,Rios Santiago,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_crios.jpg,2011-07-22 23:11:40.462000,2017-01-10 04:09:01.091000
PRL000020,Jose E. Gonzalez Velazquez,Jose,E.,Gonzalez Velazquez,,,False,pr,,,,/Fotos%20Senadores/sen_jgonazalez_S.jpg,2011-07-22 23:11:40.485000,2013-01-29 00:52:15.974000
PRL000021,Angel Martinez Santiago,Angel,,Martinez Santiago,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_amartinez.jpg,2011-07-22 23:11:40.487000,2017-01-10 04:09:01.086000
PRL000022,Luis D. Muñiz Cortes,Luis,D.,Muñiz Cortes,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lmuniz.jpg,2011-07-22 23:11:40.506000,2013-01-29 00:52:15.983000
PRL000023,Evelyn Vazquez Nieves,Evelyn,,Vazquez Nieves,,,False,pr,,,,/Fotos%20Senadores/sen_evarquez_S.jpg,2011-07-22 23:11:40.508000,2013-01-29 00:52:15.984000
PRL000024,Luis A. Berdiel Rivera,Luis,A.,Berdiel Rivera,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lberdiel.jpg,2011-07-22 23:11:40.510000,2013-01-29 00:52:15.985000
PRL000025,Larry Seilhamer Rodriguez,Larry,,Seilhamer Rodriguez,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lseilhamer.jpg,2011-07-22 23:11:40.512000,2017-01-10 04:09:01.102000
PRL000026,Antonio Soto Diaz,Antonio,,Soto Diaz,,,False,pr,,,,/Fotos%20Senadores/sen_asoto_S.jpg,2011-07-22 23:11:40.514000,2012-06-08 14:34:41.333000
PRL000027,Carlos J. Torres Torres,Carlos,J.,Torres Torres,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_ctorres.jpg,2011-07-22 23:11:40.516000,2013-01-29 00:52:15.979000
PRL000028,Ramon Diaz Hernandez,Ramon,Diaz,Hernandez,,,False,pr,,,,/Fotos%20Senadores/sen_jdiaz_S.jpg,2011-07-22 23:11:40.518000,2013-01-29 00:52:16.003000
PRL000029,Luz M. Santiago Gonzalez,Luz,M.,Santiago Gonzalez,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lsantiago.jpg,2011-07-22 23:11:40.520000,2013-01-29 00:52:15.980000
PRL000030,Roger J. Iglesias Suarez,Roger,J.,Iglesias Suarez,,,False,pr,,,,/Fotos%20Senadores/sen_roiglesias_S.jpg,2011-07-22 23:11:40.522000,2013-01-29 00:52:15.987000
PRL000031,Lornna J. Soto Villanueva,Lornna,J.,Soto Villanueva,,,False,pr,,,,http://www.senadopr.us/Fotos%20Senadores/sen_lsoto.jpg,2011-07-22 23:11:40.534000,2013-01-29 00:52:15.988000
PRL000032,José López Muñoz,José,,López Muñoz,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/cc4eb92-e09f-40d2-9920-d3594baf97ed.jpg,2011-07-22 23:11:40.536000,2017-01-10 04:09:01.067000
PRL000034,Albita Rivera Ramírez,Albita Rivera,,Ramírez,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/50585TZ6RD50585TZ6RE3505850TZ6RF.JPG,2011-07-22 23:11:40.540000,2013-01-29 00:52:15.922000
PRL000035,Liza Fernández Rodríguez,Liza M. Fernandez,,Rodriguez,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/B0A9BC6B34D3410ABD1CE3A068D36177.jpg,2011-07-22 23:11:40.542000,2013-01-29 00:52:16.001000
PRL000037,Angel A. Pérez Otero,Angel,A.,Otero,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/90FB0B0EE4774C81B90D11BAD4537111.jpg,2011-07-22 23:11:40.546000,2013-01-29 00:52:15.899000
PRL000039,Antonio Silva Delgado,Antonio Silva,,Delgado,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/389131A0BC4949468C5F85817FAF34E4.jpg,2011-07-22 23:11:40.549000,2015-02-19 22:08:09.773000
PRL000040,Angel E. Rodríguez Miranda,Angel,E.,Rodríguez Miranda,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/f91aa93-a43d-40d9-a51b-8cd81878f80c.jpg,2011-07-22 23:11:40.551000,2017-01-10 04:09:01.049000
PRL000041,Bernardo Márquez García,Bernardo Márquez,,García,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/CE3891E666DA45FEA7591298536EBCEE.jpg,2011-07-22 23:11:40.553000,2013-01-29 00:52:15.906000
PRL000042,María M. Vega Pagán,María,M.,Pagan,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/E2CCC868778C4D40B88ABC191EEEABC2.jpg,2011-07-22 23:11:40.583000,2013-01-29 00:52:15.917000
PRL000043,Héctor A. Torres Calderón,Héctor,A.,Torres Calderón,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/3fd809dd-6861-4a98-b16a-ebe9bfdd57c9.jpg,2011-07-22 23:11:40.586000,2017-01-10 04:09:01.057000
PRL000045,Paula A. Rodríguez Homs,Paula,A.,Homs,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/254EFA0E17D249A3B951EF2C48C22EBD.jpg,2011-07-22 23:11:40.590000,2013-01-29 00:52:15.892000
PRL000046,Arnaldo Jiménez Valle,Arnaldo Jiménez,,Valle,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/A6AC36B06D9E4539A34FDF0A307DD0AB.jpg,2011-07-22 23:11:40.592000,2013-01-29 00:52:15.895000
PRL000047,Eric A. Alfaro Calero,Eric,A.,Calero,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/01631965F70F4DEA964C62554CBD81BF.jpg,2011-07-22 23:11:40.593000,2013-01-29 00:52:15.920000
PRL000048,José L. Rivera Guerra,José,L.,Guerra,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/039C4F1A51414F6DA185058F01BF244B.jpg,2011-07-22 23:11:40.595000,2013-01-29 00:52:15.901000
PRL000049,David Bonilla Cortés,David Bonilla,,Cortés,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/266BCC6D1C094FBD8D9DDC86A8DF8B1E.jpg,2011-07-22 23:11:40.598000,2013-01-29 00:52:15.896000
PRL000050,Carlos M. Hernández López,Carlos,M.,Hernández López,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/f6a192d-57c2-49d1-bf8b-f0674ed24c06.jpg,2011-07-22 23:11:40.600000,2017-01-10 04:09:01.053000
PRL000051,Norman Ramírez Rivera,Norman Ramírez,,Rivera,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/DAB31228D6A24209AF0DB057D05E3AD2.jpg,2011-07-22 23:11:40.614000,2013-01-29 00:52:15.919000
PRL000053,Waldemar Quiles Rodríguez,Waldemar,,Quiles Rodríguez,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/844871b-91e6-4373-b272-c208b36c8d5a.jpg,2011-07-22 23:11:40.621000,2017-01-10 04:09:01.084000
PRL000054,Julissa Nolasco Ortíz,Julissa Nolasco,,Ortíz,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/21B71FD129364F8EA4EF69D78EE75516.jpg,2011-07-22 23:11:40.623000,2013-01-29 00:52:15.903000
PRL000055,Luis G. León Rodríguez,Luis,G.,León Rodríguez,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/9136fc6-ef2f-48f8-af26-0393ef3c1f04.jpg,2011-07-22 23:11:40.625000,2017-01-10 04:09:01.071000
PRL000056,Víctor L. Vasallo Anadón,Víctor,L.,Vasallo Anadón,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/8acb8e0-a37b-435c-a2b3-107e18f5591b.jpg,2011-07-22 23:11:40.626000,2017-01-10 04:09:01.081000
PRL000057,José L. Jiménez Negrón,José,L.,Negrón,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/54875TZA2J54875TZA2K3548750TZA2L.JPG,2011-07-22 23:11:40.628000,2013-01-29 00:52:15.918000
PRL000058,José R. Torres Ramírez,José,R.,Torres Ramírez,,,False,pr,,,,http://www.tucamarapr.org/dnncamara/images/Representantes/fcaf416c-ce19-42ef-b263-2c58d5724e4d.jpg,2011-07-22 23:11:40.630000,2017-01-10 04:09:01.068000
PRL000060,Pedro I. Cintrón Rodríguez,Pedro,I.,Rodríguez,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/83F2A059D2384CF49D1DA58573952EA6.jpg,2011-07-22 23:11:40.634000,2013-01-29 00:52:15.915000
PRL000061,Jorge L. Ramos Peña,Jorge,L.,Peña,,,False,pr,,,,http://www.camaraderepresentantes.org/files/fotos/F7E006F3B3C3430DA4F76260A344F1A0.jpg,2011-07-22 23:11:40.636000,2013-01-29 00:52:15.973000
