leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
SCL000002,Ralph Anderson,Ralph,,Anderson,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0027272724.jpg,2011-11-14 21:05:40.251000,2012-12-07 20:19:12.544000
SCL000003,Lee Bright,Lee,,Bright,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0193181795.jpg,2011-11-14 21:05:40.262000,2016-12-30 01:17:06.682000
SCL000004,Kevin L. Bryant,Kevin,L.,Bryant,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0238636335.jpg,2011-11-14 21:05:40.272000,2017-04-10 02:46:41.610000
SCL000007,Raymond E. Cleary III,Raymond,E.,Cleary,III,,False,sc,,,,http://www.scstatehouse.gov/images/members/0353693140.jpg,2011-11-14 21:05:40.459000,2016-12-30 01:17:06.687000
SCL000008,Creighton B. Coleman,Creighton,B.,Coleman,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0379545409.jpg,2011-11-14 21:05:40.472000,2016-12-30 01:17:06.678000
SCL000012,Dick Elliott,Dick,,Elliott,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0527272664.jpg,2011-11-14 21:05:40.513000,2012-12-07 20:19:12.545000
SCL000013,Michael L. Fair,Michael,L.,Fair,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0554545388.jpg,2011-11-14 21:05:40.523000,2016-12-30 01:17:06.683000
SCL000014,Robert Ford,Robert,,Ford,,,False,sc,,,,http://www.scstatehouse.gov/images/members/0606818109.jpg,2011-11-14 21:05:40.533000,2013-10-09 14:42:48.970000
SCL000017,Robert W. Hayes Jr.,Robert,W.,Hayes,Jr.,,False,sc,,,,http://www.scstatehouse.gov/images/members/0804545358.jpg,2011-11-14 21:05:40.570000,2016-12-30 01:17:06.688000
SCL000020,John M. Knotts Jr.,John,M.,Knotts,Jr.,Jake,False,sc,,,,http://www.scstatehouse.gov/images/members/1024999877.jpg,2011-11-14 21:05:40.601000,2012-12-07 20:19:12.549000
SCL000021,John C. Land III,John,C.,Land,III,,False,sc,,,,http://www.scstatehouse.gov/images/members/1049999874.jpg,2011-11-14 21:05:40.611000,2012-12-07 20:19:12.550000
SCL000023,Phil P. Leventis,Phil,P.,Leventis,,,False,sc,,,,http://www.scstatehouse.gov/images/members/1081818052.jpg,2011-11-14 21:05:40.631000,2012-12-07 20:19:12.551000
SCL000024,Joel Lourie,Joel,,Lourie,,,False,sc,,,,http://www.scstatehouse.gov/images/members/1124999865.jpg,2011-11-14 21:05:40.641000,2016-12-30 01:17:06.680000
