leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
SDL000001,Gene G Abdallah,Gene,G,Abdallah,,,False,sd,,,,http://legis.state.sd.us/sessions/2011/abdallah.jpg,2010-07-31 03:33:51.032000,2013-01-09 00:48:35.368000
SDL000002,Stanford M Adelstein,Stanford,M,Adelstein,,,False,sd,,,,http://legis.state.sd.us/sessions/2013/adelstein.jpg,2010-07-31 03:33:51.039000,2014-01-28 14:49:14.369000
SDL000003,Dan P Ahlers,Dan,P,Ahlers,,,False,sd,,,,http://legis.state.sd.us/sessions/2010/ahlersd.jpg,2010-07-31 03:33:51.045000,2011-01-11 16:28:13.345000
SDL000005,Jim Bradford,Jim,,Bradford,,,False,sd,,,,http://legis.sd.gov/img/Legislators/BRADFORD_JIM_2015.jpg,2010-07-31 03:33:51.071000,2016-12-30 21:23:08.646000
SDL000006,Corey Brown,Corey,,Brown,,,False,sd,,,,http://legis.sd.gov/img/Legislators/BROWN_COREY_2015.jpg,2010-07-31 03:33:51.078000,2016-12-30 21:23:08.634000
SDL000007,Thomas A Dempster,Thomas,A,Dempster,,,False,sd,,,,http://legis.state.sd.us/sessions/2010/Dempster.jpg,2010-07-31 03:33:51.085000,2011-01-11 16:28:13.348000
SDL000008,Art Fryslie,Art,,Fryslie,,,False,sd,,,,http://legis.state.sd.us/sessions/2011/Fryslie.jpg,2010-07-31 03:33:51.092000,2013-01-09 00:48:35.373000
SDL000009,Jason M Gant,Jason,M,Gant,,,False,sd,,,,http://legis.state.sd.us/sessions/2010/gantj.jpg,2010-07-31 03:33:51.098000,2011-01-11 16:28:13.342000
SDL000010,Cooper Garnos,Cooper,,Garnos,,,False,sd,,,,http://legis.state.sd.us/sessions/2011/Garnosc.jpg,2010-07-31 03:33:51.105000,2013-01-09 00:48:35.382000
SDL000011,Margaret V Gillespie,Margaret,V,Gillespie,,,False,sd,,,,http://legis.state.sd.us/sessions/2010/Gillespi.jpg,2010-07-31 03:33:51.127000,2011-01-11 16:28:13.344000
