leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
VTL000003,Susan J Bartlett,Susan,J,Bartlett,,,False,vt,,,,,2010-11-19 23:19:39.040000,2011-01-07 21:07:29.847000
VTL000004,Randy D Brock,Randy,D,Brock,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/brock.jpg,2010-11-19 23:19:39.042000,2013-01-05 00:02:21.872000
VTL000005,John F Campbell,John F.,,Campbell,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/campbell.jpg,2010-11-19 23:19:39.043000,2017-01-05 05:04:10.835000
VTL000006,William H Carris,William,H,Carris,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/carris.jpg,2010-11-19 23:19:39.045000,2013-01-24 15:05:09.116000
VTL000007,Matthew A Choate,Matthew,A,Choate,,,False,vt,,,,,2010-11-19 23:19:39.046000,2011-01-07 21:07:29.846000
VTL000009,Bill T Doyle,Bill,,Doyle,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/doyle.jpg,2010-11-19 23:19:39.050000,2017-01-05 05:04:10.832000
VTL000010,Ed S Flanagan,Ed,S,Flanagan,,,False,vt,,,,,2010-11-19 23:19:39.051000,2011-01-07 21:07:29.846000
VTL000012,Harold W Giard,Harold,W,Giard,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/giard.jpg,2010-11-19 23:19:39.055000,2013-01-05 00:02:21.873000
VTL000013,Robert M Hartwell,Robert,M,Hartwell,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/hartwell.jpg,2010-11-19 23:19:39.076000,2015-01-12 22:13:28.676000
VTL000014,Vincent Illuzzi,Vincent,,Illuzzi,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/illuzzi.jpg,2010-11-19 23:19:39.077000,2013-01-05 00:02:21.874000
VTL000016,Sara B Kittell,Sara,B,Kittell,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/kittell.jpg,2010-11-19 23:19:39.081000,2013-01-05 00:02:21.875000
VTL000021,Hinda Miller,Hinda,,Miller,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/millerh.jpg,2010-11-19 23:19:39.089000,2013-01-05 00:02:21.881000
VTL000024,Douglas A Racine,Douglas,A,Racine,,,False,vt,,,,,2010-11-19 23:19:39.093000,2011-01-07 21:07:29.846000
VTL000025,Phil B Scott,Phil,B,Scott,,,False,vt,,,,,2010-11-19 23:19:39.095000,2017-06-01 06:00:23.303000
VTL000027,Peter E Shumlin,Peter,E,Shumlin,,,False,vt,,,,,2010-11-19 23:19:39.098000,2011-01-07 21:07:29.848000
VTL000028,Diane B Snelling,Diane,,Snelling,,,False,vt,,,,http://vermont-elections.org/2009-2010BioBook/jpegs/snelling.jpg,2010-11-19 23:19:39.100000,2016-04-27 21:09:02.773000
