leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
WAL000002,Jeff Baxter,Jeff,,Baxter,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/baxter.jpg,2011-02-25 17:48:47.981000,2012-07-12 17:23:48.642000
WAL000004,Don Benton,Don,,Benton,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/benton.jpg,2011-02-25 17:48:47.984000,2017-02-03 03:26:21.131000
WAL000005,Lisa Brown,Lisa,,Brown,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/brown.jpg,2011-02-25 17:48:47.997000,2013-01-10 00:22:37.036000
WAL000006,Mike Carrell,Mike,,Carrell,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/carrell.jpg,2011-02-25 17:48:47.999000,2014-10-29 05:08:41.320000
WAL000009,Jerome Delvin,Jerome,,Delvin,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/delvin.jpg,2011-02-25 17:48:48.005000,2013-02-06 15:13:17.282000
WAL000010,Tracey Eide,Tracey,,Eide,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/eide.jpg,2011-02-25 17:48:48.006000,2015-01-12 18:52:29.086000
WAL000013,Karen Fraser,Karen,,Fraser,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/fraser.jpg,2011-02-25 17:48:48.012000,2017-02-03 03:27:10.087000
WAL000014,James Hargrove,Jim,,Hargrove,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/hargrove.jpg,2011-02-25 17:48:48.013000,2017-02-03 03:27:14.210000
WAL000015,Nick Harper,Nick,,Harper,,,False,wa,,,,,2011-02-25 17:48:48.015000,2013-12-10 21:32:34.580000
WAL000016,Brian Hatfield,Brian,,Hatfield,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/hatfield.jpg,2011-02-25 17:48:48.017000,2015-12-11 21:57:42.438000
WAL000017,Mary Margaret Haugen,Mary,Margaret,Haugen,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/haugen.jpg,2011-02-25 17:48:48.019000,2013-01-10 00:22:37.039000
WAL000018,Mike Hewitt,Mike,,Hewitt,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/hewitt.jpg,2011-02-25 17:48:48.020000,2017-02-03 03:26:17.466000
WAL000019,Andy Hill,Andy,,Hill,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/hill.jpg,2011-02-25 17:48:48.022000,2016-12-28 00:01:18.874000
WAL000021,Janéa Holmquist Newbry,Janéa,,Holmquist Newbry,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/holmquistnewbry.jpg,2011-02-25 17:48:48.026000,2015-01-12 18:52:29.084000
WAL000023,Jim Kastama,Jim,,Kastama,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/kastama.jpg,2011-02-25 17:48:48.039000,2013-01-10 00:22:37.031000
WAL000025,Derek Kilmer,Derek,,Kilmer,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/kilmer.jpg,2011-02-25 17:48:48.043000,2013-01-10 00:22:37.033000
WAL000027,Adam Kline,Adam,,Kline,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/kline.jpg,2011-02-25 17:48:48.046000,2015-01-12 18:52:29.088000
WAL000028,Jeanne Kohl-Welles,Jeanne,,Kohl-Welles,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/kohl-welles.jpg,2011-02-25 17:48:48.048000,2016-02-05 02:11:02.021000
WAL000029,Steve Litzow,Steve,,Litzow,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/litzow.jpg,2011-02-25 17:48:48.050000,2017-02-03 03:27:28.679000
WAL000030,Rosemary McAuliffe,Rosemary,,McAuliffe,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/mcauliffe.jpg,2011-02-25 17:48:48.052000,2017-02-03 03:26:06.134000
WAL000031,Bob Morton,Bob,,Morton,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/morton.jpg,2011-02-25 17:48:48.053000,2013-01-10 00:22:37.034000
WAL000032,Ed Murray,Ed,,Murray,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/murray.jpg,2011-02-25 17:48:48.055000,2014-01-07 21:44:40.172000
WAL000034,Linda Evans Parlette,Linda,Evans,Parlette,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/parlette.jpg,2011-02-25 17:48:48.059000,2017-02-03 03:26:14.064000
WAL000035,Cheryl Pflug,Cheryl,,Pflug,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/pflug.jpg,2011-02-25 17:48:48.163000,2012-07-12 17:27:39.083000
WAL000036,Margarita Prentice,Margarita,,Prentice,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/prentice.jpg,2011-02-25 17:48:48.164000,2013-01-10 00:22:37.032000
WAL000037,Craig Pridemore,Craig,,Pridemore,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/pridemore.jpg,2011-02-25 17:48:48.166000,2013-01-10 00:22:37.029000
WAL000039,Debbie Regala,Debbie,,Regala,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/regala.jpg,2011-02-25 17:48:48.170000,2013-01-10 00:22:37.038000
WAL000040,Pam Roach,Pam,,Roach,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/roach.jpg,2011-02-25 17:48:48.182000,2017-02-03 03:27:25.419000
WAL000041,Phil Rockefeller,Phil,,Rockefeller,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/roach.jpg,2011-02-25 17:48:48.183000,2012-06-06 15:34:02.602000
WAL000044,Paull Shin,Paull,,Shin,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/shin.jpg,2011-02-25 17:48:48.189000,2014-01-28 14:53:41.896000
WAL000045,Val Stevens,Val,,Stevens,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/stevens.jpg,2011-02-25 17:48:48.190000,2013-01-10 00:22:37.037000
WAL000046,Dan Swecker,Dan,,Swecker,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/swecker.jpg,2011-02-25 17:48:48.192000,2013-01-10 00:22:37.035000
WAL000047,Rodney Tom,Rodney,,Tom,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/tom.jpg,2011-02-25 17:48:48.194000,2015-01-12 18:52:29.090000
WAL000048,Scott White,Scott,,White,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/white.jpg,2011-02-25 17:48:48.196000,2012-06-06 15:35:48.731000
WAL000049,Joseph Zarelli,Joseph,,Zarelli,,,False,wa,,,,http://www.leg.wa.gov/senate/senators/publishingimages/zarelli.jpg,2011-02-25 17:48:48.197000,2012-06-06 15:32:49.633000
WAL000050,John Ahern,John,,Ahern,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/ahern.jpg,2011-02-25 17:48:48.199000,2013-01-10 00:22:37.005000
WAL000051,Gary Alexander,Gary,,Alexander,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/alexander.jpg,2011-02-25 17:48:48.201000,2014-01-21 16:15:09.924000
WAL000052,Glenn Anderson,Glenn,,Anderson,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/anderson.jpg,2011-02-25 17:48:48.203000,2013-01-10 00:22:37.013000
WAL000055,Mike Armstrong,Mike,,Armstrong,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/armstrong.jpg,2011-02-25 17:48:48.208000,2013-01-10 00:22:37.017000
WAL000056,Katrina Asay,Katrina,,Asay,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/asay.jpg,2011-02-25 17:48:48.210000,2013-01-10 00:22:37.018000
WAL000067,Larry Crouse,Larry,,Crouse,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/crouse.jpg,2011-02-25 17:48:48.239000,2014-01-15 14:44:32.760000
WAL000068,Cathy Dahlquist,Cathy,,Dahlquist,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/dahlquist.jpg,2011-02-25 17:48:48.241000,2015-01-12 18:52:29.072000
WAL000069,Bruce Dammeier,Bruce,,Dammeier,,,False,wa,,,,http://www.leg.wa.gov/Senate/Senators/PublishingImages/dammeier.jpg,2011-02-25 17:48:48.243000,2017-02-03 03:27:19.407000
WAL000072,Mary Lou Dickerson,Mary Lou,,Dickerson,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/dickerson.jpg,2011-02-25 17:48:48.248000,2013-01-10 00:22:37.007000
WAL000073,Hans Dunshee,Hans,,Dunshee,,,False,wa,,,,http://www.leg.wa.gov/House/Representatives/PublishingImages/dunshee.jpg,2011-02-25 17:48:48.250000,2016-04-19 17:31:51.470000
WAL000074,Deb Eddy,Deb,,Eddy,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/eddy.jpg,2011-02-25 17:48:48.262000,2013-01-10 00:22:37.019000
WAL000075,Susan Fagan,Susan,,Fagan,,,False,wa,,,,,2011-02-25 17:48:48.264000,2015-07-08 20:00:48.941000
WAL000076,Fred Finn,Fred,,Finn,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/finn.jpg,2011-02-25 17:48:48.271000,2013-01-10 00:22:37.020000
WAL000080,Tami Green,Tami,,Green,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/green.jpg,2011-02-25 17:48:48.278000,2015-01-12 18:52:29.068000
WAL000081,Kathy Haigh,Kathy,,Haigh,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/haigh.jpg,2011-02-25 17:48:48.280000,2015-01-12 18:52:29.074000
WAL000086,Bill Hinkle,Bill,,Hinkle,,,False,wa,,,,http://www.leg.wa.gov/house/representatives/publishingimages/hinkle.jpg,2011-02-25 17:48:48.301000,2013-01-10 00:22:37.028000
WAL000087,Mike Hope,Mike,,Hope,,,False,wa,,,,,2011-02-25 17:48:48.303000,2014-09-30 16:20:58.649000
WAL000089,Sam Hunt,Sam,,Hunt,,,False,wa,,,,http://www.leg.wa.gov/House/Representatives/PublishingImages/hunts.jpg,2011-02-25 17:48:48.306000,2017-02-03 03:31:27.121000
