leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
WIL000055,Mark Gundrum,Mark,,Gundrum,,,False,wi,,,,,2010-07-23 21:01:00.264000,2011-01-07 20:40:46.905000
WIL000317,Spencer Coggs,Spencer,,Coggs,,,False,wi,,,,http://legis.wisconsin.gov//Senate/sen06/sen06.jpg,2010-08-27 19:14:33.242000,2013-01-08 17:38:10.732000
WIL000318,Robert Cowles,Robert,,Cowles,,,False,wi,,,,http://legis.wisconsin.gov/sitecollectionimages/2013/sen02.jpeg,2010-08-27 19:14:33.244000,2015-01-12 15:46:10.160000
WIL000320,Russell Decker,Russell,,Decker,,,False,wi,,,,,2010-08-27 19:14:33.249000,2011-01-07 20:40:46.909000
WIL000321,Michael Ellis,Michael,,Ellis,,,False,wi,,,,http://legis.wisconsin.gov/sitecollectionimages/2013/sen19.jpeg,2010-08-27 19:14:33.251000,2015-01-12 15:46:10.158000
WIL000323,Scott Fitzgerald,Scott,,Fitzgerald,,,False,wi,,,,http://legis.wisconsin.gov/sitecollectionimages/2013/sen13.jpeg,2010-08-27 19:14:33.255000,2015-01-12 15:46:10.147000
WIL000324,Glenn Grothman,Glenn,,Grothman,,,False,wi,,,,http://legis.wisconsin.gov/sitecollectionimages/2013/sen20.jpeg,2010-08-27 19:14:33.257000,2015-01-12 15:46:10.163000
WIL000327,Jim Holperin,Jim,,Holperin,,,False,wi,,,,http://legis.wisconsin.gov//Senate/sen12/sen12.jpg,2010-08-27 19:14:33.264000,2013-01-08 17:38:10.734000
WIL000328,Randy Hopper,Randy,,Hopper,,,False,wi,,,,http://legis.wisconsin.gov//Senate/sen18/sen18.jpg,2010-08-27 19:14:33.267000,2012-07-10 18:01:41.048000
WIL000329,Robert Jauch,Robert,,Jauch,,,False,wi,,,,http://legis.wisconsin.gov/sitecollectionimages/2013/sen25.jpeg,2010-08-27 19:14:33.270000,2015-01-12 15:46:10.173000
WIL000330,Theodore Kanavas,Theodore,,Kanavas,,,False,wi,,,,,2010-08-27 19:14:33.272000,2011-01-07 20:40:46.910000
WIL000331,Dan Kapanke,Dan,,Kapanke,,,False,wi,,,,http://legis.wisconsin.gov//Senate/sen32/sen32.jpg,2010-08-27 19:14:33.274000,2012-06-01 18:28:14.344000
