leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
WVL000001,Orphy Klempa,Orphy,,Klempa,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/klempa_orphy.jpg,2011-07-25 15:16:19.184000,2013-01-08 00:08:22.034000
WVL000002,Jack Yost,Jack,,Yost,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/yost_jack.jpg,2011-07-25 15:16:19.197000,2017-01-13 05:05:19.298000
WVL000003,Larry Edgell,Larry J.,,Edgell,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/edgell_larry.jpg,2011-07-25 15:16:19.201000,2015-01-14 21:45:33.450000
WVL000004,Jeffrey Kessler,Jeffrey,,Kessler,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/kessler_jeffrey.jpg,2011-07-25 15:16:19.203000,2017-01-13 05:05:19.300000
WVL000006,David Nohe,David,,Nohe,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2015/senate/nohe_david.jpg,2011-07-25 15:16:19.209000,2015-12-11 22:56:36.588000
WVL000007,Karen Facemyer,Karen,,Facemyer,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/facemyer_karen.jpg,2011-07-25 15:16:19.228000,2013-01-08 00:08:22.022000
WVL000009,Evan Jenkins,Evan H.,,Jenkins,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/jenkins_evan.jpg,2011-07-25 15:16:19.235000,2015-01-14 21:45:33.456000
WVL000011,H. Chafin,H. Truman,,Chafin,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/chafin_h.jpg,2011-07-25 15:16:19.242000,2015-01-14 21:45:33.458000
WVL000012,John Fanning,John,,Fanning,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/fanning_john.jpg,2011-07-25 15:16:19.245000,2013-01-08 00:08:22.023000
WVL000014,Earl Tomblin,Earl,,Tomblin,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2011/senate/tomblin_earl.jpg,2011-07-25 15:16:19.259000,2012-06-06 15:50:18.292000
WVL000015,Dan Foster,Dan,,Foster,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/foster_dan.jpg,2011-07-25 15:16:19.263000,2013-01-08 00:08:22.024000
WVL000016,Brooks McCabe,Brooks,,McCabe,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/mccabe_brooks.jpg,2011-07-25 15:16:19.266000,2015-01-14 21:45:33.448000
WVL000018,Erik Wells,Erik,,Wells,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/wells_erik.jpg,2011-07-25 15:16:19.277000,2015-01-14 21:45:33.462000
WVL000019,D. Browning,D.,,Browning,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/browning_d.jpg,2011-07-25 15:16:19.281000,2013-01-08 00:08:22.025000
WVL000020,Mike Green,Mike,,Green,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/green_mike.jpg,2011-07-25 15:16:19.284000,2015-01-14 21:45:33.465000
WVL000022,Mark Wills,Mark,,Wills,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/senate/wills_mark.jpg,2011-07-25 15:16:19.292000,2013-01-08 00:08:22.027000
WVL000023,William Laird,William R.,,Laird,IV,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/laird_william.jpg,2011-07-25 15:16:19.295000,2017-01-13 05:05:19.301000
WVL000024,Gregory Tucker,Gregory A.,,Tucker,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/tucker_gregory.jpg,2011-07-25 15:16:19.299000,2015-01-14 21:45:33.419000
WVL000026,Joseph Minard,Joseph,,Minard,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2013/senate/minard_joseph.jpg,2011-07-25 15:16:19.317000,2013-02-06 15:20:52.751000
WVL000030,Bob Williams,Bob,,Williams,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/williams_bob.jpg,2011-07-25 15:16:19.357000,2017-01-13 05:05:19.294000
WVL000031,Clark Barnes,Clark S.,,Barnes,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/senate/barnes_clark.jpg,2011-07-25 15:16:19.380000,2015-01-14 21:45:33.422000
WVL000032,Walt Helmick,Walt,,Helmick,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2013/senate/helmick_walt.jpg,2011-07-25 15:16:19.395000,2013-02-06 15:26:05.852000
WVL000033,Herb Snyder,Herb,,Snyder,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/snyder_herb.jpg,2011-07-25 15:16:19.399000,2017-01-13 05:05:19.296000
WVL000035,Ronnie Jones,Ronnie D.,,Jones,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/jones_ronnie.jpg,2011-07-25 15:16:19.405000,2015-01-14 21:45:33.335000
WVL000036,Randy Swartzmiller,Randy,,Swartzmiller,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/swartzmiller_randy.jpg,2011-07-25 15:16:19.409000,2015-01-14 21:45:33.338000
WVL000037,Timothy Ennis,Timothy,,Ennis,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/ennis_timothy.jpg,2011-07-25 15:16:19.412000,2012-06-06 15:51:57.369000
WVL000038,Roy Givens,Roy,,Givens,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/givens_roy.jpg,2011-07-25 15:16:19.415000,2013-01-08 00:08:20.574000
WVL000042,Scott Varner,Scott,,Varner,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/varner_scott.jpg,2011-07-25 15:16:19.428000,2013-01-08 00:08:20.735000
WVL000045,Lynwood Ireland,Lynwood,,Ireland,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/ireland_lynwood.jpg,2011-07-25 15:16:19.440000,2017-01-13 05:05:19.262000
WVL000047,Anna Border,Anna,,Border-Sheppard,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/bordersheppard_anna.jpg,2011-07-25 15:16:19.446000,2017-01-13 05:05:19.199000
WVL000048,Tom Azinger,Tom,,Azinger,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/azinger_tom.jpg,2011-07-25 15:16:19.458000,2015-01-14 21:45:33.340000
WVL000049,John Ellem,John N.,,Ellem,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/ellem_john.jpg,2011-07-25 15:16:19.461000,2015-01-14 21:45:33.342000
WVL000050,Daniel Poling,Daniel,,Poling,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/poling_daniel.jpg,2011-07-25 15:16:19.464000,2015-01-14 21:45:33.345000
WVL000051,Bob Ashley,Bob,,Ashley,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/senate/ashley_bob.jpg,2011-07-25 15:16:19.467000,2017-01-13 05:05:19.292000
WVL000053,Helen Martin,Helen,,Martin,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/martin_helen.jpg,2011-07-25 15:16:19.474000,2013-01-08 00:08:20.741000
WVL000054,Brady Paxton,Brady,,Paxton,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/paxton_brady.jpg,2011-07-25 15:16:19.477000,2015-01-14 21:45:33.347000
WVL000055,Troy Andes,Troy,,Andes,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/andes_troy.jpg,2011-07-25 15:16:19.480000,2015-01-14 21:45:33.350000
WVL000056,Brian Savilla,Brian,,Savilla,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/savilla_brian.jpg,2011-07-25 15:16:19.483000,2013-01-08 00:08:20.739000
WVL000057,Kevin Craig,Kevin J.,,Craig,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/craig_kevin.jpg,2011-07-25 15:16:19.486000,2015-01-14 21:45:33.352000
WVL000059,Jim Morgan,Jim,,Morgan,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/morgan_jim.jpg,2011-07-25 15:16:19.494000,2017-01-13 05:05:19.236000
WVL000060,Doug Reynolds,Doug,,Reynolds,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/reynolds_doug.jpg,2011-07-25 15:16:19.497000,2017-01-13 05:05:19.233000
WVL000062,Dale Stephens,Dale,,Stephens,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/stephens_dale.jpg,2011-07-25 15:16:19.504000,2015-01-14 21:45:33.354000
WVL000063,Don Perdue,Don,,Perdue,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/perdue_don.jpg,2011-07-25 15:16:19.507000,2017-01-13 05:05:19.228000
WVL000064,Richard Thompson,Rick,,Thompson,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/thompson_rick.jpg,2011-07-25 15:16:19.512000,2013-06-19 13:24:28.233000
WVL000065,Larry Barker,Larry,,Barker,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/barker_larry.jpg,2011-07-25 15:16:19.516000,2014-12-09 01:21:09.487000
WVL000066,Greg Butcher,Greg,,Butcher,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/butcher_greg.jpg,2011-07-25 15:16:19.519000,2013-01-08 00:08:21.899000
WVL000069,Josh Stowers,Josh,,Stowers,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2013/house/stowers_josh.jpg,2011-07-25 15:16:19.538000,2014-12-09 01:21:09.496000
WVL000070,K. Kominar,K.,,Kominar,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/kominar_k.jpg,2011-07-25 15:16:19.541000,2012-06-06 15:57:51.914000
WVL000071,Harry White,Harry Keith,,White,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2015/house/white_harry.jpg,2011-07-25 15:16:19.545000,2016-02-05 02:05:33.650000
WVL000072,Daniel Hall,Daniel J.,,Hall,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2015/senate/hall_daniel.jpg,2011-07-25 15:16:19.548000,2016-06-20 14:40:34.307000
WVL000073,Linda Phillips,Linda Goode,,Phillips,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2015/house/phillips_linda.jpg,2011-07-25 15:16:19.553000,2016-02-05 02:07:26.322000
WVL000074,Clif Moore,Clif,,Moore,,,False,wv,,,,http://www.legis.state.wv.us/../images/members/2016/house/moore_clif.jpg,2011-07-25 15:16:19.559000,2017-01-13 05:05:19.208000
WVL000077,John Frazier,John,,Frazier,,,False,wv,,,,http://www.legis.state.wv.us/images/members/2012/house/frazier_john.jpg,2011-07-25 15:16:19.588000,2013-01-08 00:08:21.904000
